Tuli	tuli	0		S	sg n
    	@tule	i		V	s
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
R.	R.	0		Y	?
Umblia	####				
	#Umblia	0		H	sg n
herra	####				
	#härra	0		S	sg g
päral	pära	l		S	sg ad
     	päral	0		D	
	£päral	0		K	
oleva	@olev	0		A	sg g
     	olev	0		S	sg g
puude	@puu	de		S	pl g
     	puude	0		S	sg n
     	puue	0		S	sg g
ja	ja	0		J	
palkide	palk	de		S	pl g
kopmann	####				
	#opman	0		S	sg n
Gustav	Gustav	0		H	sg n
Soome	Soome	0		H	adt
     	Soome	0		H	sg g
     	@Soome	0		H	sg n
     	soome	0		G	
ja	ja	0		J	
kaebas	kaeba	s		V	s
,	,			Z	
et	et	0		J	
4.	4.	0		O	?
Januaril	####				
	#jaanuar	l		S	sg ad
s.a	s.a	0		Y	?
.	.			Z	
olema	ole	ma		V	ma
tema	tema	0		P	sg g
    	@tema	0		P	sg n
vana	@vana	0		A	sg g
    	vana	0		A	sg n
    	vana	0		A	sg p
    	vana	0		S	sg g
    	vana	0		S	sg n
    	vana	0		S	sg p
kirjotaja	####				
	#kirjutaja	0		S	sg g
Constantin	####				
	#Constantin	0		H	sg n
Martinseni	####				
	#Martinsen	0		H	sg g
tööd	töö	d		S	pl n
    	@töö	d		S	sg p
vasto	####				
	#vastu	0		D	
vötma	####				
	#võt	ma		V	ma
lähnud	####				
	#mine	nud		V	nud
,	,			Z	
kus	kus	0		D	
ka	ka	0		D	
köik	####				
	#kõik	0		P	sg n
töörahvas	@töö_rahvas	0		S	sg n
         	töö_rahvas	s		S	sg in
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
oma	oma	0		A	sg g
   	oma	0		D	
   	@oma	0		P	sg g
   	oma	0		S	sg g
   	oma	0		V	o
   	oma	0		A	sg n
   	oma	0		A	sg p
   	oma	0		P	sg n
   	oma	0		P	sg p
   	oma	0		S	sg n
   	oma	0		S	sg p
töö	@töö	0		S	sg g
   	töö	0		S	sg n
ära	@ära	0		D	
   	ära	0		V	neg o
andmisele	andmine	le		S	sg all
tulnuvad	####				
	#tule	nuvad		V	nuvad
,	,			Z	
aga	aga	0		J	
,	,			Z	
et	et	0		J	
temal	tema	l		P	sg ad
,	,			Z	
Kustav	kus=tav	0		A	sg n
      	kuse	tav		V	tav
	£Kustav	0		H	sg n
Soome	Soome	0		H	adt
     	Soome	0		H	sg g
     	@Soome	0		H	sg n
     	soome	0		G	
,	,			Z	
mitte	mitte	0		D	
vöimalik	####				
	#võimalik	0		A	sg n
ei	ei	0		D	
  	@ei	0		V	neg
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
ühe	@üks	0		N	sg g
   	üks	0		P	sg g
   	ühe	0		S	sg n
päevaga	päev	ga		S	sg kom
seda	see	da		P	sg p
hulka	hulk	0		S	adt
     	@hulk	0		S	sg p
     	hulka	0		K	
tööd	töö	d		S	pl n
    	@töö	d		S	sg p
vasto	####				
	#vastu	0		D	
vötta	####				
	#võt	a		V	da
,	,			Z	
siis	siis	0		D	
    	@siis	0		J	
olema	ole	ma		V	ma
aga	aga	0		J	
üksi	üksi	0		D	
nende	see	de		P	pl g
     	@tema	de		P	pl g
tööd	@töö	d		S	pl n
    	töö	d		S	sg p
vasto	####				
	#vastu	0		D	
vötnud	####				
	#võt	nud		V	nud
,	,			Z	
kes	@kes	0		P	pl n
   	kes	0		P	sg n
raha	@raha	0		S	sg g
    	raha	0		S	sg n
    	raha	0		S	sg p
puuduse	puudus	0		S	sg g
pärast	pära	st		S	sg el
      	pärane	t		A	sg p
      	pärast	0		D	
      	@pärast	0		K	
mitte	mitte	0		D	
enam	enam	0		C	sg n
    	@enam	0		D	
tööd	töö	d		S	pl n
    	@töö	d		S	sg p
edasi	@edasi	0		D	
     	edasi	0		K	
ei	ei	0		D	
  	@ei	0		V	neg
vöinud	####				
	#või	nud		V	nud
teha	tege	a		V	da
,	,			Z	
hakkanud	####				
	#hakka	nud		V	nud
Kodasme	####				
	#Kodasme	0		H	sg g
talusse	talu	sse		S	sg ill
tulema	tule	ma		V	ma
,	,			Z	
kus	kus	0		D	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
K.	K.	0		Y	?
Soome	Soome	0		H	adt
     	Soome	0		H	sg g
     	@Soome	0		H	sg n
     	soome	0		G	
oma	oma	0		A	sg g
   	oma	0		D	
   	@oma	0		P	sg g
   	oma	0		S	sg g
   	oma	0		V	o
   	oma	0		A	sg n
   	oma	0		A	sg p
   	oma	0		P	sg n
   	oma	0		P	sg p
   	oma	0		S	sg n
   	oma	0		S	sg p
hobuse	hobune	0		S	sg g
peremehe	pere_mees	0		S	sg g
Jüri	Jüri	0		H	sg g
    	@Jüri	0		H	sg n
Birki	####				
	#Birk	0		H	sg g
hoolde	@hool	de		S	adt
      	hoole	0		S	adt
      	hoole	0		S	sg g
jätnud	@jät	nud		V	nud
      	jät=nu	d		S	pl n
      	jät=nud	0		A	
      	jät=nud	0		A	sg n
      	jät=nud	d		A	pl n
,	,			Z	
selle	@see	0		P	sg g
     	sell	e		S	pl p
tee	@tee	0		S	sg g
   	tege	0		V	o
   	tee	0		S	sg n
peal	pea	l		S	sg ad
    	peal	0		D	
    	@peal	0		K	
tulnud	tul=nud	0		A	
      	tul=nud	0		A	sg n
      	tul=nud	d		A	pl n
      	@tule	nud		V	nud
      	tulnu	d		S	pl n
töömees	töö_mees	0		S	sg n
Märt	Märt	0		H	sg n
Äint	####				
	#Äint	0		H	sg n
ähvardades	ähvarda	des		V	des
temale	tema	le		P	sg all
vasto	####				
	#vastu	0		D	
,	,			Z	
ütteldes	####				
	#ütle	des		V	des
:	:			Z	
et	et	0		J	
ma	mina	0		P	sg n
tahan	taht	n		V	n
sulle	sina	lle		P	sg all
näitada	####				
	#näita	da		V	da
,	,			Z	
""""	""""			Z	
kas	kas	0		D	
maksad	maks	d		S	pl n
      	@maks	d		V	d
minu	mina	0		P	sg g
tööraha	@töö_raha	0		S	sg g
       	töö_raha	0		S	sg n
       	töö_raha	0		S	sg p
ära	@ära	0		D	
   	ära	0		V	neg o
vöi	####				
	#või	0		J	
mitte	mitte	0		D	
,	,			Z	
muidu	muidu	0		D	
sa	sina	0		P	sg n
siit	siit	0		D	
paigast	@paik	st		S	sg el
       	paigas	t		S	sg p
et	et	0		J	
	£ei	t		V	neg d
peäse	####				
	#pääse	0		V	o
","""	","""			Z	
neid	neid	0		S	sg n
    	@see	d		P	pl p
    	tema	d		P	pl p
sönu	####				
	#sõna	u		S	pl p
ütteldes	####				
	#ütle	des		V	des
ajanud	@aja	nud		V	nud
      	aja=nu	d		S	pl n
      	aja=nud	0		A	
      	aja=nud	0		A	sg n
      	aja=nud	d		A	pl n
Märt	Märt	0		H	sg n
Äint	####				
	#Äint	0		H	sg n
oma	oma	0		A	sg g
   	oma	0		D	
   	@oma	0		P	sg g
   	oma	0		S	sg g
   	oma	0		V	o
   	oma	0		A	sg n
   	oma	0		A	sg p
   	oma	0		P	sg n
   	oma	0		P	sg p
   	oma	0		S	sg n
   	oma	0		S	sg p
käed	käsi	d		S	pl n
K.	K.	0		Y	?
Soome	Soome	0		H	adt
     	@Soome	0		H	sg g
     	Soome	0		H	sg n
     	soome	0		G	
(	(			Z	
külge	külg	0		S	adt
     	külg	0		S	sg p
     	külge	0		D	
     	@külge	0		K	
)	)			Z	
rindu	rind	u		S	pl p
     	rindu	0		D	
	£rind	u		S	pl adt
,	,			Z	
et	et	0		J	
sel	@see	l		P	sg ad
   	sel	0		Y	?
viisil	@viis	l		S	sg ad
      	viisil	0		K	
temaga	tema	ga		P	sg kom
vägivaldset	vägi_valdne	t		A	sg p
tööd	töö	d		S	pl n
    	@töö	d		S	sg p
tee	@tee	0		S	sg g
   	tege	0		V	o
   	tee	0		S	sg n
peäl	####				
	#peal	0		K	
pruukida	pruuki	da		V	da
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
K.	K.	0		Y	?
Soome	Soome	0		H	adt
     	Soome	0		H	sg g
     	@Soome	0		H	sg n
     	soome	0		G	
teda	tema	da		P	sg p
eemale	eemale	0		D	
törjuda	####				
	#tõrju	da		V	da
püüdnud	£püüd	nud		V	nud
       	püüd=nu	d		S	pl n
       	püüd=nud	0		A	
       	püüd=nud	0		A	sg n
       	püüd=nud	d		A	pl n
,	,			Z	
kartes	kart	es		V	des
,	,			Z	
et	et	0		J	
temal	tema	l		P	sg ad
K.	K.	0		Y	?
Soomel	Soome	l		H	sg ad
raha	raha	0		S	sg g
    	@raha	0		S	sg n
    	raha	0		S	sg p
kaasas	kaasa	s		V	s
      	kaasa	s		S	sg in
      	@kaasas	0		D	
      	kaasas	0		K	
olnud	ol=nud	0		A	
     	ol=nud	0		A	sg n
     	ol=nud	d		A	pl n
     	@ole	nud		V	nud
     	olnu	d		S	pl n
,	,			Z	
et	et	0		J	
M.	M.	0		Y	?
Äint	####				
	#Äint	0		H	sg n
ehk	@ehk	0		D	
   	ehk	0		J	
selkombel	####				
	#sel_kombel	0		D	
tema	@tema	0		P	sg g
    	tema	0		P	sg n
Soome	Soome	0		H	adt
     	@Soome	0		H	sg g
     	Soome	0		H	sg n
     	soome	0		G	
käest	@käest	0		K	
     	käsi	st		S	sg el
raha	@raha	0		S	sg g
    	raha	0		S	sg n
    	raha	0		S	sg p
