Tuli	tuli	0		S	sg n
    	@tule	i		V	s
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
Uue	uus	0		A	sg g
	£Uue	0		H	sg g
Suislepa	####				
	#Suislepa	0		H	sg g
mõisa	mõis	0		S	sg g
valitsus	valitsus	0		S	sg n
ja	ja	0		J	
kaebas	kaeba	s		V	s
siin	@siin	0		D	
    	siin	0		S	sg n
et	et	0		J	
Uue	uus	0		A	sg g
	£Uue	0		H	sg g
Suislepa	####				
	#Suislepa	0		H	sg g
mees	@mees	0		S	sg n
    	mesi	s		S	sg in
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Murro	####				
	#Murro	0		H	sg n
mõisa	mõis	0		S	sg g
metsast	@mets	st		S	sg el
       	metsane	t		A	sg p
all	@all	0		D	
   	all	0		K	
nimetud	nimetu	d		A	pl n
	£nimeta	tud		V	tud
puid	puu	id		S	pl p
ja	ja	0		J	
palke	palk	e		S	pl p
olla	ole	a		V	da
varastanud	@varasta	nud		V	nud
          	varasta=nu	d		S	pl n
          	varasta=nud	0		A	
          	varasta=nud	0		A	sg n
          	varasta=nud	d		A	pl n
ja	ja	0		J	
selle	@see	0		P	sg g
     	sell	e		S	pl p
üle	üle	0		D	
   	@üle	0		K	
kohto	####				
	#kohus	0		S	sg g
seletust	seletus	t		S	sg p
ja	ja	0		J	
otsust	otsus	t		S	sg p
palub	palu	b		V	b
,	,			Z	
et	et	0		J	
see	see	0		P	sg n
kahjo	####				
	#kahju	0		S	sg g
tegemine	tegemine	0		S	sg n
mõisale	mõis	le		S	sg all
saaks	saa	ks		V	ks
ära	@ära	0		D	
   	ära	0		V	neg o
tasutud	@tasu	tud		V	tud
       	tasu=tu	d		S	pl n
       	tasu=tud	0		A	
       	tasu=tud	0		A	sg n
       	tasu=tud	d		A	pl n
,	,			Z	
ja	ja	0		J	
nimelt	@nimelt	0		D	
      	nimi	lt		S	sg abl
varastud	####				
	#varasta	tud		V	tud
:	:			Z	
2	2	0		N	?
lõhandiku	lõhandik	0		S	sg g
1	1	0		N	?
süld	süld	0		S	sg n
pikk	pikk	0		A	sg n
12	12	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
2	2	0		N	?
palki	palk	0		S	adt
     	@palk	0		S	sg p
4	4	0		N	?
sülda	süld	0		S	adt
     	@süld	0		S	sg p
pikk	pikk	0		A	sg n
120	120	0		N	?
tolli	toll	0		S	adt
     	toll	0		S	sg g
     	tolli	0		V	o
     	@toll	0		S	sg p
jäme	jäme	0		A	sg n
tüvest	tüvi	st		S	sg el
1	1	0		N	?
