Suurest	suur	st		A	sg el
	£Suur	st		H	sg el
Rõngust	Rõngu	st		H	sg el
Pabbo	####				
	#Pabbo	0		H	sg n
Maks	maks	0		S	sg n
	£Maks	0		H	sg n
ja	ja	0		J	
temä	####				
	#tema	0		P	sg g
Kaemees	kae_mees	0		S	sg n
	£käe_mees	0		S	sg n
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Saar	saar	0		S	sg n
	£Saar	0		H	sg n
kaivas	####				
	#kaeba	s		V	s
Johann	Johann	0		H	sg n
Välli	####				
	#Völli	0		H	sg g
päle	####				
	#peale	0		K	
nidade	####				
	#nii_moodi	0		D	
:	:			Z	
Kui	kui	0		D	
   	@kui	0		J	
minna	mine	a		V	da
	£mina	0		P	sg n
5	5	0		N	?
aasta	@aasta	0		S	sg g
     	aasta	0		S	sg n
eest	eest	0		D	
    	@eest	0		K	
    	esi	st		S	sg el
kõrtsi	kõrts	0		S	adt
      	@kõrts	0		S	sg g
      	kõrts	0		S	sg p
tallun	####				
	#talu	n		S	sg in
teenman	####				
	#teeni	man		V	mas
olli	####				
	#ole	0		V	sin
ja	ja	0		J	
Johann	Johann	0		H	sg n
Völli	####				
	#Völli	0		H	sg n
olli	####				
	#ole	0		V	s
sääl	####				
	#seal	0		D	
lähikesen	####				
	#lähedal	0		D	
Tikotaja	####				
	#Tikotaja	0		H	sg g
tallun	####				
	#talu	n		S	sg in
,	,			Z	
temä	####				
	#tema	0		P	sg n
lubbas	####				
	#luba	s		V	s
minno	####				
	#mina	0		P	sg p
ärä	####				
	#ära	0		D	
vötta	####				
	#võt	a		V	da
ja	ja	0		J	
sel	@see	l		P	sg ad
   	sel	0		Y	?
4	4	0		N	?
Märtsil	märts	l		S	sg ad
1874	1874	0		N	?
viis	@vii	s		V	s
    	viis	0		N	sg n
    	viis	0		S	sg n
minno	####				
	#mina	0		P	sg p
eddimäst	####				
	#esimene	t		O	sg p
kõrda	####				
	#kord	0		S	sg p
lina	@lina	0		S	sg g
    	lina	0		S	sg n
    	lina	0		S	sg p
talgusse	####				
	#talgus	0		S	sg g
ajal	aeg	l		S	sg ad
    	@ajal	0		K	
aita	@ait	0		S	adt
    	aita	0		V	o
    	ait	0		S	sg p
treppi	trepp	0		S	adt
      	trepp	0		S	sg p
	£trepp	0		S	sg g
päle	####				
	#peale	0		K	
ja	ja	0		J	
käis	@käi	s		V	s
    	käis	0		S	sg n
mino	####				
	#mina	0		P	sg g
man	man	0		D	
   	@man	0		K	
,	,			Z	
selle	see	0		P	sg g
     	sell	e		S	pl p
	£selle	0		D	
et	et	0		J	
ta	tema	0		P	sg g
  	@tema	0		P	sg n
minno	####				
	#mina	0		P	sg p
lubbas	####				
	#luba	s		V	s
ärä	####				
	#ära	0		D	
võtta	võt	a		V	da
andsi	####				
	#and	si		V	sin
mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
hendä	####				
	#ise	0		P	sg g
temä	####				
	#tema	0		P	sg g
kätte	@kätte	0		K	
     	käsi	tte		S	adt
ja	ja	0		J	
nida	####				
	¤
elläsime	####				
	#ela	sime		V	sime
allati	####				
	#alasti	0		D	
ihulikult	ihulik	lt		A	sg abl
         	@ihuliku=lt	0		D	
ütte	üte	0		S	sg g
	£ühte	0		D	
,	,			Z	
jo	####				
	#juba	0		D	
päle	####				
	#peale	0		K	
se	####				
	#see	0		P	sg g
5	5	0		N	?
näddäli	####				
	#nädal	0		S	sg g
perräst	####				
	#pärast	0		K	
ütli	####				
	#ütle	i		V	sin
mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
tälle	####				
	#tema	le		P	sg all
küini	####				
	#küün	0		S	sg g
lävve	####				
	#lävi	0		S	sg g
pääl	####				
	#peal	0		K	
,	,			Z	
et	et	0		J	
minna	mine	a		V	da
	£mina	0		P	sg n
olle	####				
	#ole	0		V	n
rassetas	####				
	#rase	ks		A	sg tr
sanu	####				
	#saa	nu		V	nud
,	,			Z	
temä	####				
	#tema	0		P	sg n
üttel	üte	l		S	sg ad
	£ütle	0		V	s
:	:			Z	
lasse	lass	e		S	pl p
	£lask	0		V	o
külla	küll	0		S	adt
     	küll	0		S	sg g
     	küla	0		S	adt
     	küll	0		S	sg p
	£küla	0		S	sg g
naistel	naine	tel		S	pl ad
henda	####				
	#ise	0		P	sg
hõru	####				
	#hõõru	0		V	da
sis	####				
	#siis	0		D	
kaop	####				
	#kadu	p		V	b
ärä	####				
	#ära	0		D	
,	,			Z	
ent	ent	0		J	
mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
es	es			H	?
	£ei	s		V	neg s
te	sina	0		P	pl g
  	sina	0		P	pl n
	£tege	0		V	o
seddä	####				
	#see	da		P	sg p
ja	ja	0		J	
ütle	ütle	0		V	o
	£ütle	0		V	n
Jumala	jumal	0		S	sg g
nink	####				
	#ning	0		J	
innimiste	####				
	#inimene	te		S	pl g
een	####				
	#ees	0		D	
,	,			Z	
et	et	0		J	
mino	####				
	#mina	0		P	sg g
man	man	0		D	
   	@man	0		K	
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	o
keijgi	####				
	#keegi	0		P	sg n
mu	mina	0		P	sg g
	£muu	0		P	sg n
käinu	käinu	0		S	sg g
     	käinu	0		S	sg n
	£käi	nu		V	nud
kui	kui	0		D	
   	@kui	0		J	
Joh	####				
	#Joh	0		Y	
.	.			Z	
Völli	####				
	#Völli	0		H	sg n
.	.			Z	
Mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
olles	ole	es		V	des
	£ole	s		V	ks
ka	ka	0		D	
jo	####				
	#juba	0		D	
enembi	####				
	#enne	0		D	
seddä	####				
	#see	da		P	sg p
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
kohtu	kohtu	0		V	o
     	@kohus	0		S	sg g
kätte	@kätte	0		K	
     	käsi	tte		S	adt
andnu	and=nu	0		S	sg g
     	and=nu	0		S	sg n
	£and	nu		V	nud
,	,			Z	
kui	kui	0		D	
   	@kui	0		J	
Johan	Johan	0		H	sg n
Völli	####				
	#Völli	0		H	sg n
mino	####				
	#mina	0		P	sg g
ennämb	####				
	#enam	0		D	
es	es			H	?
	£ei	s		V	neg s
tahha	####				
	#taht	0		V	o
ärä	####				
	#ära	0		D	
võtta	võt	a		V	da
,	,			Z	
se	####				
	#see	0		P	sg n
päle	####				
	#peale	0		D	
sündi	sünd	0		S	adt
     	sünd	0		S	sg p
	£sündi	0		V	s
lats	lats	0		S	sg n
	£laps	0		S	sg n
sel	@see	l		P	sg ad
   	sel	0		Y	?
26	26	0		N	?
Novbr	####				
	#Novbr	0		Y	
,	,			Z	
nink	####				
	#ning	0		D	
se	####				
	#see	0		P	sg n
lats	lats	0		S	sg n
	£laps	0		S	sg n
olli	####				
	#ole	i		V	s
kava	kava	0		S	sg g
    	kava	0		S	sg n
    	kava	0		S	sg p
	£kaua	0		D	
aiga	####				
	#aeg	0		S	sg p
väega	vägi	ga		S	sg kom
	#väga	0		D	
nõrk	nõrk	0		A	sg n
,	,			Z	
häddäline	####				
	#hädaline	0		S	sg n
ja	ja	0		J	
põdeja	põdeja	0		S	sg g
      	@põdeja	0		S	sg n
,	,			Z	
mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
olle	####				
	#ole	0		V	n
ka	ka	0		D	
temäga	####				
	#tema	ga		P	sg kom
tahtnu	taht=nu	0		S	sg g
      	taht=nu	0		S	sg n
	£taht	nu		V	nud
hendä	####				
	#ise	0		P	sg g
vahel	vahe	l		S	sg ad
     	vahel	0		D	
     	@vahel	0		K	
leppi	lepp	i		S	pl p
	£leppi	0		V	da
ja	ja	0		J	
küsse	####				
	#küsi	0		V	sin
latse	lats	e		S	pl p
	£laps	0		S	sg g
toitmisse	toitmine	se		S	adt
	£toitmine	0		S	sg g
tarvis	tarvis	0		D	
      	@tarvis	0		K	
raha	raha	0		S	sg g
    	raha	0		S	sg n
    	@raha	0		S	sg p
,	,			Z	
ent	ent	0		J	
temä	####				
	#tema	0		P	sg n
es	es			H	?
	£ei	s		V	neg s
ana	####				
	#and	0		V	o
mulle	mull	e		S	pl p
     	@mina	lle		P	sg all
     	mulle	0		S	sg n
middägi	####				
	#miski	dagi		P	sg p
,	,			Z	
enge	####				
	¤
otsip	####				
	#otsi	p		V	b
kige	####				
	#kõik	0		P	sg g
sugutsil	####				
	#sugune	tsil		A	pl ad
võls	####				
	#võlts	0		A	sg n
tunistajat	####				
	#tunnistaja	t		S	sg p
mino	####				
	#mina	0		P	sg g
vasta	vasta	0		V	o
	£vastu	0		K	
ja	ja	0		J	
om	####				
	#ole	0		V	b
ni	####				
	#nii	0		D	
seddä	####				
	#see	da		P	sg p
aiga	####				
	#aeg	0		S	sg p
pikendanu	pikenda=nu	0		S	sg g
         	pikenda=nu	0		S	sg n
