Tilga	tilk	0		S	sg g
	£Tilga	0		H	sg g
karjamöisa	####				
	#karja_mõis	0		S	sg g
rentnik	rentnik	0		S	sg n
Parrol	####				
	#Parrol	0		H	sg n
kaibas	####				
	#kaeba	s		V	s
et	et	0		J	
temmal	####				
	#tema	l		P	sg ad
omma	####				
	#oma	0		P	sg g
poolterramehhe	####				
	#poole_tera_mees	0		S	sg g
Johann	Johann	0		H	sg n
Johannsoni	####				
	#Johannson	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
ollevad	####				
	#ole	vad		V	vat
nöudmisi	####				
	#nõudmine	i		S	pl p
.	.			Z	
1.	1.	0		O	?
11	11	0		N	?
vakkamaad	####				
	#vaka_maa	d		S	sg p
ristikheina	ristik_hein	0		S	adt
           	@ristik_hein	0		S	sg g
           	ristik_hein	0		S	sg p
sööti	sööt	i		S	pl p
     	sööt	0		S	adt
     	@sööt	0		S	sg p
     	sööti	0		D	
iätno	####				
	#jät	no		V	nud
kündmata	@künd	mata		V	mata
        	künd=mata	0		A	
nöud	####				
	#nõud	0		V	s
selle	@see	0		P	sg g
     	sell	e		S	pl p
eest	eest	0		D	
    	@eest	0		K	
    	esi	st		S	sg el
22	22	0		N	?
rbl	rbl	0		Y	?
2.	2.	0		O	?
üks	@üks	0		N	sg n
   	üks	0		P	sg n
süld	süld	0		S	sg n
puid	puu	id		S	pl p
3	3	0		N	?
rbl	rbl	0		Y	?
40	40	0		N	?
kop	kop	0		Y	?
3.	3.	0		O	?
ütte	üte	0		S	sg g
	£üks	0		N	sg g
sulla	sulla	0		D	
	£süld	0		S	sg g
puude	@puu	de		S	pl g
     	puude	0		S	sg n
     	puue	0		S	sg g
löikaminne	####				
	#lõikamine	0		S	sg n
ja	ja	0		J	
kuikatsist	####				
	#Kuigatsi	st		H	sg el
koddo	####				
	#kodu	0		S	sg ill
toomine	toomine	0		S	sg n
1	1	0		N	?
rbl	rbl	0		Y	?
90	90	0		N	?
kop	kop	0		Y	?
4.	4.	0		O	?
1/2	1/2	0		N	?
süüld	####				
	#süld	0		S	sg n
öppetaajale	####				
	#õpetaja	le		S	sg all
massa	####				
	#maks	a		V	da
1	1	0		N	?
rbl	rbl	0		Y	?
70	70	0		N	?
kop	kop	0		Y	?
5.	5.	0		O	?
4	4	0		N	?
1/2	1/2	0		N	?
süüld	####				
	#süld	0		S	sg n
äkke	äke	0		S	sg g
	¤
2	2	0		N	?
rbl	rbl	0		Y	?
50	50	0		N	?
kop	kop	0		Y	?
6.	6.	0		O	?
3	3	0		N	?
vakkamaad	####				
	#vaka_maa	d		S	sg p
sitta	sitt	0		A	adt
     	sitt	0		S	adt
     	sitta	0		V	o
     	sitt	0		A	sg p
     	@sitt	0		S	sg p
välla	####				
	#välja	0		D	
veddamatta	####				
	#veda	matta		V	mata
jätno	####				
	#jät	no		V	nud
4	4	0		N	?
rbl	rbl	0		Y	?
80	80	0		N	?
kop	kop	0		Y	?
7.	7.	0		O	?
1	1	0		N	?
vakkamaa	####				
	#vaka_maa	0		S	sg n
linna	linn	0		S	adt
     	linn	0		S	sg g
     	linn	0		S	sg p
	£lina	0		S	sg p
mahha	####				
	#maha	0		D	
niitno	####				
	#niit	no		V	nud
kahju	kahi	0		S	adt
     	kahi	0		S	sg g
     	kahi	0		S	sg p
     	kahju	0		S	sg g
     	@kahju	0		S	sg n
     	kahju	0		S	sg p
selleman	####				
	#selle_man	0		D	
25	25	0		N	?
rbl	rbl	0		Y	?
8.	8.	0		O	?
ühhe	####				
	#üks	0		N	sg g
karjosse	####				
	#karjus	0		S	sg g
söök	söök	0		S	sg n
ja	ja	0		J	
palk	@palk	0		S	sg n
    	palk	0		S	sg n
36	36	0		N	?
rbl	rbl	0		Y	?
30	30	0		N	?
kop	kop	0		Y	?
9.	9.	0		O	?
rööa	####				
	#rüga	0		S	sg g
alla	alla	0		D	
    	@alla	0		K	
sitta	sitt	0		A	adt
     	sitt	0		S	adt
     	sitta	0		V	o
     	sitt	0		A	sg p
     	@sitt	0		S	sg p
veddamatta	####				
	#veda	matta		V	mata
jätno	####				
	#jät	no		V	nud
selle	@see	0		P	sg g
     	sell	e		S	pl p
est	####				
	#eest	0		K	
10	10	0		N	?
rbl	rbl	0		Y	?
10.	10.	0		O	?
sittaveddamisse	####				
	#sita_vedamine	0		S	sg g
pääle	####				
	#peale	0		K	
2	2	0		N	?
poissi	poiss	0		S	adt
      	@poiss	0		S	sg p
ja	ja	0		J	
üks	@üks	0		N	sg n
   	üks	0		P	sg n
hobbene	####				
	#hobune	0		S	sg n
1	1	0		N	?
päiv	####				
	#päev	0		S	sg n
1	1	0		N	?
rbl	rbl	0		Y	?
80	80	0		N	?
kop	kop	0		Y	?
11.	11.	0		O	?
Öppetaja	####				
	#õpetaja	0		S	sg g
utte	utt	0		S	adt
    	utt	0		S	sg p
	£üks	0		N	sg g
päiva	####				
	#päev	0		S	sg g
eest	eest	0		D	
    	@eest	0		K	
    	esi	st		S	sg el
40	40	0		N	?
kop	kop	0		Y	?
