Kaibas	####				
	#kaeba	s		V	s
Haslava	####				
	#Haaslava	0		H	sg g
moisa	####				
	#mõis	0		S	sg g
Kõrtsimees	kõrtsi_mees	0		S	sg n
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Rattasep	####				
	#Rattasep	0		H	sg n
,	,			Z	
et	et	0		J	
temal	tema	l		P	sg ad
71	71	0		N	?
rbl	rbl	0		Y	?
rahha	####				
	#raha	0		S	sg p
Endrik	Endrik	0		H	sg n
Kärike	####				
	#Kärik	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
sada	sada	0		N	sg n
    	sada	0		N	sg p
	£saa	da		V	da
om	####				
	#ole	0		V	b
ja	ja	0		J	
nimmelt	nimme	lt		S	sg abl
	£nimelt	0		D	
om	####				
	#ole	0		V	b
tema	tema	0		P	sg g
    	@tema	0		P	sg n
40	40	0		N	?
rbl	rbl	0		Y	?
selged	selge	d		A	pl n
	£selge	d		A	sg p
raha	raha	0		S	sg g
    	raha	0		S	sg n
    	@raha	0		S	sg p
Kärikule	####				
	#Kärik	le		H	sg all
lainus	####				
	#laen	s		S	sg tr
andno	####				
	#and	no		V	nud
ja	ja	0		J	
31	31	0		N	?
rbl	rbl	0		Y	?
est	####				
	#eest	0		K	
om	####				
	#ole	0		V	b
Kärik	####				
	#Kärik	0		H	sg n
Kaero	####				
	#kaer	o		S	pl p
tema	@tema	0		P	sg g
    	tema	0		P	sg n
käest	@käest	0		K	
     	käsi	st		S	sg el
sanu	####				
	#saa	nu		V	nud
ja	ja	0		J	
pallus	####				
	#palu	s		V	s
,	,			Z	
et	et	0		J	
Kohus	kohu	s		V	s
     	@kohus	0		S	sg n
seda	see	da		P	sg p
massma	####				
	#maks	ma		V	ma
sunis	####				
	#sund	s		V	ks
.	.			Z	
Endrik	Endrik	0		H	sg n
Kärik	####				
	#Kärik	0		H	sg n
vastutas	vastuta	s		V	s
selle	@see	0		P	sg g
     	sell	e		S	pl p
kaibuse	####				
	#kaebus	0		S	sg g
päle	####				
	#peale	0		K	
,	,			Z	
et	et	0		J	
temma	####				
	#tema	0		P	sg n
sel	@see	l		P	sg ad
   	sel	0		Y	?
kõrral	####				
	#kord	l		S	sg ad
kui	kui	0		D	
   	@kui	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
Tarto	Tarto	0		H	sg g
     	Tarto	0		H	sg n
	£Tartu	0		H	sg g
Linnan	####				
	#linn	n		S	sg in
töömees	töö_mees	0		S	sg n
ollun	####				
	#ole	n		V	nud
80	80	0		N	?
rbl	rbl	0		Y	?
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Rattasepale	ratta_sepp	le		S	sg all
	£Rattasep	le		H	sg all
lainus	####				
	#laen	s		S	sg tr
andnu	and=nu	0		S	sg g
     	and=nu	0		S	sg n
	£and	nu		V	nud
ja	ja	0		J	
sis	####				
	#siis	0		D	
sanu	####				
	#saa	nu		V	nud
tema	tema	0		P	sg g
    	@tema	0		P	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
vasta	vasta	0		V	o
	£vastu	0		K	
Kaero	####				
	#kaer	0		S	pl p
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Rattasepa	ratta_sepp	0		S	sg g
	£Rattasep	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
ni	####				
	#nii	0		D	
et	et	0		J	
tassu	####				
	#tasu	0		S	sg p
sanu	####				
	#saa	nu		V	nud
,	,			Z	
40	40	0		N	?
rbl	rbl	0		Y	?
on	@ole	0		V	b
  	ole	0		V	vad
tema	tema	0		P	sg g
    	@tema	0		P	sg n
kül	####				
	#küll	0		D	
kaibaja	####				
	#kaebaja	0		S	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
lainanu	####				
	#laena	nu		V	nud
,	,			Z	
10	10	0		N	?
rbl	rbl	0		Y	?
om	####				
	#ole	0		V	b
juba	juba	0		D	
ärra	####				
	#ära	0		D	
massnu	####				
	#maks	nu		V	nud
,	,			Z	
ja	ja	0		J	
sis	####				
	#siis	0		D	
om	####				
	#ole	0		V	b
tema	tema	0		P	sg g
    	@tema	0		P	sg n
31	31	0		N	?
rbl	rbl	0		Y	?
25	25	0		N	?
kop	kop	0		Y	?
est	####				
	#eest	0		K	
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Rattasepa	ratta_sepp	0		S	sg g
	£Rattasep	0		S	sg p
orjanu	orja=nu	0		S	sg g
      	orja=nu	0		S	sg n
	£orja	nu		V	nud
ja	ja	0		J	
nimelt	@nimelt	0		D	
      	nimi	lt		S	sg abl
1	1	0		N	?
hobuse	hobune	0		S	sg g
päiv	####				
	#päev	0		S	sg n
linast	lina	st		S	sg el
      	linane	t		A	sg p
	£linn	st		S	sg el
tennu	####				
	#tege	nu		V	nud
se	####				
	#see	0		P	sg n
massab	####				
	#maks	b		V	b
3	3	0		N	?
rbl	rbl	0		Y	?
4	4	0		N	?
Vore	####				
	#Voore	0		H	sg g
mäelt	mägi	lt		S	sg abl
palke	palk	e		S	pl p
tonu	####				
	#too	nu		V	nud
8	8	0		N	?
rbl	rbl	0		Y	?
1	1	0		N	?
lubja	lubi	0		S	sg g
veski	@veski	0		S	sg g
     	veski	0		S	sg n
jure	####				
	#juurde	0		K	
vienu	####				
	#vii	nu		V	nud
2	2	0		N	?
rbl	rbl	0		Y	?
1	1	0		N	?
jahu	@jahu	0		S	sg g
    	jahu	0		V	o
    	jahu	0		S	sg n
    	jahu	0		S	sg p
linna	@linn	0		S	adt
     	linn	0		S	sg g
     	linn	0		S	sg p
vienu	####				
	#vii	nu		V	nud
2	2	0		N	?
rbl	rbl	0		Y	?
1	1	0		N	?
sitta	sitt	0		A	adt
     	sitt	0		S	adt
     	sitta	0		V	o
     	sitt	0		A	sg p
     	@sitt	0		S	sg p
vedanu	veda=nu	0		S	sg g
      	veda=nu	0		S	sg n
	£veda	nu		V	nud
2	2	0		N	?
rbl	rbl	0		Y	?
1	1	0		N	?
jalla	####				
	#jalg	0		S	sg g
päiv	####				
	#päev	0		S	sg n
linna	linn	0		S	adt
     	linn	0		S	sg g
     	linn	0		S	sg p
	¤
kentnu	####				
	¤
1	1	0		N	?
rbl	rbl	0		Y	?
2	2	0		N	?
vilja	vili	0		S	adt
     	vili	0		S	sg g
     	@vili	0		S	sg p
ostma	ost	ma		V	ma
käinu	käinu	0		S	sg g
     	käinu	0		S	sg n
	£käi	nu		V	nud
2	2	0		N	?
rbl	rbl	0		Y	?
7	7	0		N	?
1/2	1/2	0		N	?
Vakka	vakk	0		S	adt
     	@vakk	0		S	sg p
     	vakka	0		D	
kaero	####				
	#kaer	0		S	pl p
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Rattasepa	ratta_sepp	0		S	sg g
	£Rattasep	0		H	sg g
est	####				
	#eest	0		K	
Magatside	####				
	#magatsi	de		S	sg ill
massnu	####				
	#maks	nu		V	nud
mes	####				
	#mis	0		P	sg n
massab	####				
	#maks	b		V	b
11	11	0		N	?
rbl	rbl	0		Y	?
25	25	0		N	?
kop	kop	0		Y	?
Summa	summ	0		S	adt
     	summ	0		S	sg g
     	summ	0		S	sg p
     	summa	0		S	sg g
     	@summa	0		S	sg n
31	31	0		N	?
rbl	rbl	0		Y	?
25	25	0		N	?
kop	kop	0		Y	?
mes	####				
	#mis	0		P	sg n
perra	####				
	#perra	0		D	
temal	tema	l		P	sg ad
1	1	0		N	?
rbl	rbl	0		Y	?
25	25	0		N	?
kop	kop	0		Y	?
veel	@veel	0		D	
    	vesi	l		S	sg ad
tagasi	@tagasi	0		D	
      	tagasi	0		K	
sada	sada	0		N	sg n
    	sada	0		N	sg p
	£saa	da		V	da
om	####				
	#ole	0		V	b
.	.			Z	
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Rattasep	####				
	#Rattasep	0		H	sg n
vastutas	vastuta	s		V	s
selle	@see	0		P	sg g
     	sell	e		S	pl p
päle	####				
	#peale	0		K	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
konnagi	konn	0	gi	S	adt
       	konn	0	gi	S	sg g
       	konn	0	gi	S	sg p
	£kunagi	0		D	
80	80	0		N	?
rbl	rbl	0		Y	?
Endrik	Endrik	0		H	sg n
Käriko	####				
	#Kärik	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
lainanu	####				
	#laena	nu		V	nud
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	o
,	,			Z	
10	10	0		N	?
rbl	rbl	0		Y	?
om	####				
	#ole	0		V	b
temma	####				
	#tema	0		P	sg n
kül	####				
	#küll	0		D	
kaerade	kaer	de		S	pl g
est	####				
	#eest	0		K	
Endrik	Endrik	0		H	sg n
Käriko	####				
	#Kärik	0		H	sg g
käest	@käest	0		K	
     	käsi	st		S	sg el
sanu	####				
	#saa	nu		V	nud
,	,			Z	
neida	####				
	#see	ida		P	pl g
tegude	tegu	de		S	pl g
päle	####				
	#peale	0		K	
vastutas	vastuta	s		V	s
Rattasep	####				
	#Rattasep	0		H	sg n
:	:			Z	
""""	""""			Z	
hobuse	hobune	0		S	sg g
päiva	####				
	#päev	0		S	sg p
linnast	linn	st		S	sg el
	¤
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	b
Kärik	####				
	#Kärik	0		H	sg n
temmale	####				
	#tema	le		P	sg ad
tennu	####				
	#tege	nu		V	nud
,	,			Z	
2	2	0		N	?
hobuse	hobune	0		S	sg g
päiva	####				
	#päev	0		S	sg p
om	####				
	#ole	0		V	b
Endrik	Endrik	0		H	sg n
Karik	####				
	#Karik	0		H	sg n
talkuse	####				
	#talgus	0		S	sg g
päl	####				
	#peal	0		K	
tennu	####				
	#tege	nu		V	nud
ja	ja	0		J	
palke	palk	e		S	pl p
Vore	####				
	#Voore	0		H	sg g
mäelt	mägi	lt		S	sg abl
vedanu	veda=nu	0		S	sg g
      	veda=nu	0		S	sg n
	£veda	nu		V	nud
,	,			Z	
ja	ja	0		J	
Käriko	####				
	#Kärik	0		H	sg g
Naese	####				
	#naine	0		S	sg g
essa	####				
	#isa	0		S	sg n
om	####				
	#ole	0		V	b
2	2	0		N	?
päiva	####				
	#päev	0		S	sg p
tennu	####				
	#tege	nu		V	nud
,	,			Z	
mes	####				
	#mis	0		P	sg n
est	####				
	#eest	0		D	
temma	####				
	#tema	0		P	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
Naese	####				
	#naine	0		S	sg g
essale	####				
	#isa	le		S	sg all
massma	####				
	#maks	ma		V	ma
peab	pida	b		V	b
kui	kui	0		D	
   	@kui	0		J	
se	####				
	#see	0		P	sg n
nõuab	nõud	b		V	b
,	,			Z	
need	see	d		P	pl n
päivat	####				
	#päev	t		S	pl n
om	####				
	#ole	0		V	vad
talkuse	####				
	#talgus	0		S	sg g
pääl	####				
	#peal	0		K	
tehtu	tehtu	0		S	sg g
     	tehtud	0		A	sg g
     	tehtu	0		S	sg n
	£tege	tu		V	tud
ja	ja	0		J	
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	o
mitte	mitte	0		D	
rahast	raha	st		S	sg el
tehtut	tehtu	t		S	sg p
      	tehtud	t		A	sg p
	£tege	tut		V	tud
,	,			Z	
Lubja	lubi	0		S	sg g
	£Lubja	0		H	sg g
veski	@veski	0		S	sg g
     	veski	0		S	sg n
päle	####				
	#peale	0		K	
om	####				
	#ole	0		V	b
Kärik	####				
	#Kärik	0		H	sg n
teda	tema	da		P	sg p
vienu	####				
	#vii	nu		V	nud
,	,			Z	
se	####				
	#see	0		P	sg n
sõit	sõit	0		S	sg n
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	o
mitte	mitte	0		D	
kaubeltu	####				
	#kauple	tu		V	tud
ollnu	####				
	#ole	nu		V	nud
,	,			Z	
jahu	@jahu	0		S	sg g
    	jahu	0		V	o
    	jahu	0		S	sg n
    	jahu	0		S	sg p
linna	linn	0		S	adt
     	linn	0		S	sg g
     	linn	0		S	sg p
	¤
ei	@ei	0		D	
  	ei	0		V	neg
ka	ka	0		D	
sitta	sitt	0		A	adt
     	sitt	0		S	adt
     	sitta	0		V	o
     	sitt	0		A	sg p
     	@sitt	0		S	sg p
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	o
Endrik	Endrik	0		H	sg n
Kärik	####				
	#Kärik	0		H	sg n
vedaman	####				
	#veda	man		V	mas
ollnu	####				
	#ole	nu		V	nud
,	,			Z	
linna	linn	0		S	adt
     	linn	0		S	sg g
     	linn	0		S	sg p
	¤
kentman	####				
	¤
ei	@ei	0		D	
  	ei	0		V	neg
ka	ka	0		D	
vilja	vili	0		S	adt
     	vili	0		S	sg g
     	@vili	0		S	sg p
ostman	####				
	#ost	man		V	mas
ei	ei	0		D	
  	@ei	0		V	neg
olle	####				
	#ole	0		V	o
Kärik	####				
	#Kärik	0		H	sg n
tema	@tema	0		P	sg g
    	tema	0		P	sg n
jures	####				
	#juures	0		K	
ollnu	####				
	#ole	nu		V	nud
.	.			Z	
Need	see	d		P	pl n
7	7	0		N	?
1/2	1/2	0		N	?
Vak	####				
	#vakk	0		S	sg n
Kaero	####				
	#kaer	o		S	pl p
om	####				
	#ole	0		V	b
tema	tema	0		P	sg g
