Moisa	####				
	#mõis	0		S	sg g
valitsus	valitsus	0		S	sg n
om	####				
	#ole	0		V	b
kaibanu	####				
	#kaeba	nu		V	nud
,	,			Z	
et	et	0		J	
kevaja	####				
	#kevad	0		S	sg g
sel	see	l		P	sg ad
   	sel	0		Y	?
	¤
ajas	@aeg	s		S	sg in
    	aja	s		V	s
mosa	####				
	#mõis	0		S	sg g
pleegi	@pleek	0		S	sg g
      	pleeki	0		V	o
aijast	####				
	#aed	st		S	sg el
om	####				
	#ole	0		V	b
2	2	0		N	?
kangast	kangas	st		S	sg el
       	@kangas	t		S	sg p
ära	@ära	0		D	
   	ära	0		V	neg o
varastetu	####				
	#varasta	tu		V	tud
tõist	####				
	#teine	t		P	sg p
24	24	0		N	?
küünart	küünar	t		S	sg p
,	,			Z	
tõist	####				
	#teine	t		P	sg p
34	34	0		N	?
küünart	küünar	t		S	sg p
nink	####				
	#ning	0		J	
arvata	@arva	ta		V	da
      	arva	ta		V	ta
      	arvata	0		D	
om	####				
	#ole	0		V	b
,	,			Z	
et	et	0		J	
Purraski	####				
	#Purrask	0		H	sg g
Peeter	Peeter	0		H	sg n
Adel	####				
	#Adel	0		H	sg n
ehk	ehk	0		D	
   	@ehk	0		J	
muu	muu	0		P	sg g
   	muu	0		S	sg g
   	muu	0		V	o
   	@muu	0		P	sg n
   	muu	0		S	sg n
tema	@tema	0		P	sg g
    	tema	0		P	sg n
pere	@pere	0		S	sg g
    	pere	0		S	sg n
rahvast	@rahvas	st		S	sg el
       	rahvas	t		S	sg p
seda	see	da		P	sg p
ommava	####				
	#ole	va		V	vad
varastanu	varasta=nu	0		S	sg g
         	varasta=nu	0		S	sg n
	£varasta	nu		V	nud
;	;			Z	
neide	neid	e		S	pl p
	£tema	ide		P	pl g
maja	maja	0		S	sg g
    	@maja	0		S	sg n
    	maja	0		S	sg p
om	####				
	#ole	0		V	b
läbi	@läbi	0		D	
    	läbi	0		K	
    	läbi	0		V	o
otsitu	otsitud	0		A	sg g
	£otsi	tu		V	tud
nink	####				
	#ning	0		J	
üts	####				
	#üks	0		N	sg n
tükk	tükk	0		S	sg n
rõivast	rõivas	st		S	sg el
       	@rõivas	t		S	sg p
löitu	####				
	#leid	u		V	tud
,	,			Z	
mes	####				
	#mis	0		P	sg n
arvata	arva	ta		V	da
      	arva	ta		V	ta
      	@arvata	0		D	
mõsa	####				
	#mõis	0		S	sg g
rõivas	@rõivas	0		S	sg n
      	rõivas	s		S	sg in
om	####				
	#ole	0		V	b
ent	ent	0		J	
katest	####				
	#kaks	est		N	sg el
otsast	@ots	st		S	sg el
      	otsast	0		K	
lõigatu	lõiga=tu	0		S	sg g
       	lõiga=tu	0		S	sg n
	£lõika	tu	V	tud
;	;			Z	
nink	####				
	#ning	0		J	
paar	paar	0		N	sg n
    	@paar	0		S	sg n
vankri	vanker	0		S	sg g
juhi	@juht	0		S	sg g
    	juhti	0		V	o
rauda	raud	0		S	adt
     	@raud	0		S	sg p
mes	####				
	#mis	0		P	sg n
moisast	####				
	#mõis	st		S	sg el
varastedu	####				
	#varasta	du		V	tud
.	.			Z	
Peeter	Peeter	0		H	sg n
Adeli	####				
	#Adel	0		H	sg g
naine	naine	0		S	sg n
om	####				
	#ole	0		V	b
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
kutsutu	kutsutu	0		S	sg g
       	kutsutud	0		A	sg g
       	kutsutu	0		S	sg n
	£kutsu	tu		V	tud
kes	kes	0		P	pl n
   	@kes	0		P	sg n
ütlep	####				
	#ütle	p		V	b
esi	esi	0		S	pl p
   	esi	0		S	sg n
	£ise	0		P	sg n
seda	see	da		P	sg p
kangast	kangas	st		S	sg el
       	@kangas	t		S	sg p
kudanu	####				
	#kudu	nu		V	nud
olevat	@ole	vat		V	vat
      	olev	t		A	sg p
      	olev	t		S	sg p
,	,			Z	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
ütlep	####				
	#ütle 	p		V	b
:	:			Z	
""""	""""			Z	
Mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
ole	ole	0		V	o
	£ole	0		V	n
esi	esi	0		S	pl p
   	esi	0		S	sg n
	£ise	0		P	sg n
seda	see	da		P	sg p
rõivast	rõivas	st		S	sg el
       	@rõivas	t		S	sg p
kidanu	####				
	¤
,	,			Z	
se	####				
	#see	0		P	sg n
rõõvas	####				
	#rõivas	0		S	sg n
(	(			Z	
kangas	@kangas	0		S	sg n
      	kangas	s		S	sg in
)	)			Z	
olli	####				
	#ole	li		V	s
6	6	0		N	?
saina	####				
	#sein	0		S	sg p
nink	####				
	#ning	0		J	
20	20	0		N	?
paasmat	####				
	#pasmas	t		S	sg p
laga	laga	0		S	sg g
    	laga	0		S	sg n
    	laga	0		S	sg p
	£lai	0		A	sg p
.	.			Z	
Säält	####				
	#sealt	0		D	
otsast	@ots	st		S	sg el
      	otsast	0		K	
saije	####				
	#saa	ie		V	s
lõigatus	lõiga=tu	s		S	sg in
        	lõiga=tus	0		S	sg n
	£lõika	tus		V	tud tr
1	1	0		N	?
leivakott	leiva_kott	0		S	sg n
,	,			Z	
1	1	0		N	?
põlt	####				
	#põll	0		S	sg n
nink	####				
	#ning	0		J	
hammid	####				
	#hame id		S	pl p
.	.			Z	
Selle	@see	0		P	sg g
     	sell	e		S	pl p
leiva	leib	0		S	sg g
koti	kott	0		S	sg g
,	,			Z	
põlle	põll	0		S	adt
     	@põll	0		S	sg g
     	põll	0		S	sg p
ja	ja	0		J	
1te	####				
	#üks	te		N	sg g
hame	@hame	0		S	sg g
    	hame	0		S	sg n
om	####				
	#ole	0		V	b
tema	tema	0		P	sg g
    	@tema	0		P	sg n
kohto	####				
	#kohus	0		S	sg g
ette	ette	0		D	
    	@ette	0		K	
    	esi	tte		S	adt
toonu	too=nu	0		S	sg g
     	too=nu	0		S	sg n
	£too	nu		V	nud
,	,			Z	
ent	ent	0		J	
nee	####				
	#see	0		P	pl n
ei	ei	0		D	
  	@ei	0		V	neg
sünni	sünd	0		S	sg g
     	@sündi	0		V	o
kokko	####				
	#kokku	0		D	
,	,			Z	
sest	see	st		P	sg el
    	@sest	0		J	
et	et	0		J	
ahtamba	####				
	#ahtam	0		C	pl n
ommava	####				
	#ole	va		V	vad
.	.			Z	
Pääle	####				
	#peale	0		K
selle	@see	0		P	sg g
     	sell	e		S	pl p
ütlep	####				
	#ütle	p		V	b
tema	tema	0		P	sg g
    	@tema	0		P	sg n
veel	@veel	0		D	
    	vesi	l		S	sg ad
tõisi	####				
	#teine	si		P	p
hammid	####				
	#hame	id	S	pl p
olevat	@ole	vat		V	vat
      	olev	t		A	sg p
      	olev	t		S	sg p
,	,			Z	
mes	####				
	#mis	0		P	sg n
sest	@see	st		P	sg el
    	sest	0		J	
rõivast	@rõivas	st		S	sg el
