Tulli	tull	0		S	adt
     	tull	0		S	sg g
     	tull	0		S	sg p
	£tule	li		V	s
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
Josep	####				
	#Josep	0		H	sg n
Kallaste	Kallas	te		H	pl g
        	@Kallaste	0		H	sg g
        	kallas	te		S	pl g
        	Kallaste	0		H	sg n
naene	####				
	#naine 	0		S	sg n
lesk	lesk	0		S	sg n
Lena	####				
	#Lena	0		H	sg n
Kallaste	Kallas	te		H	pl g
        	Kallaste	0		H	sg g
        	kallas	te		S	pl g
        	@Kallaste	0		H	sg n
ja	ja	0		J	
kaebas	kaeba	s		V	s
et	et	0		J	
temmal	####				
	#tema	l		P	sg ad
11	11	0		N	?
1/2	1/2	0		N	?
rubla	rubla	0		S	sg g
     	rubla	0		S	sg n
     	@rubla	0		S	sg p
on	@ole	0		V	b
  	ole	0		V	vad
ühhesolnud	####				
	#ühes_ole	nud		V	nud
kui	kui	0		D	
   	@kui	0		J	
temma	####				
	#tema	0		P	sg n
Josep	####				
	#Josep	0		H	sg n
Kallastele	Kallas	tele		H	pl all
          	@Kallaste	le		H	sg all
          	kallas	tele		S	pl all
on	@ole	0		V	b
  	ole	0		V	vad
mehhe	####				
	#mees	0		S	sg g
saanud	@saa	nud		V	nud
      	saa=nud	0		A	
      	saa=nud	0		A	sg n
      	saa=nud	d		A	pl n
      	saanu	d		S	pl n
ja	ja	0		J	
nüüd	nüüd	0		D	
ei	ei	0		D	
  	@ei	0		V	neg
lubbavad	####				
	#luba	vad		V	vat
mehhe	####				
	#mees	0		S	sg g
emma	####				
	#ema	0		S	sg n
Kadri	Kadri	0		H	sg g
     	@Kadri	0		H	sg n
     	kadri	0		S	sg g
     	kadri	0		S	sg n
Kallaste	Kallas	te		H	pl g
        	Kallaste	0		H	sg g
        	kallas	te		S	pl g
        	@Kallaste	0		H	sg n
temmale	####				
	#tema	le		P	sg all
mitte	mitte	0		D	
sedda	####				
	#see	da		P	sg p
rahha	####				
	#raha	0		P	sg p
välja	@välja	0		D	
     	välja	0		V	o
