Päle	####				
	#peale	0		K
se	####				
	#see	0		P	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
valla	@vald	0		S	sg g
     	valla	0		D	
perremees	perre_mees	0		S	sg n
	£pere_mees	0		S	sg n
Karl	Karl	0		H	sg n
Kilter	kilter	0		S	sg n
	£Kilter	0		H	sg n
need	see	d		P	pl n
ösel	####				
	#öösel	0		D
sel	@see	l		P	sg ad
   	sel	0		Y	?
19-20.	19-20.	0		O	?
Januaril	####				
	#jaanuar	l		S	sg ad
s.a	s.a	0		Y	?
.	.			Z	
heino	####				
	#hein	0		S	pl p
vargusse	vargus	se		S	adt
	£vargus	0		S	sg g
päält	####				
	#pealt	0		K
kätte	kätte	0		K	
     	@käsi	tte		S	adt
sadu	sada	u		N	pl p
    	sadu	0		S	sg n
    	sadu	0		S	sg p
	£saa	du		V	tud
Ahja	@Ahja	0		H	sg g
    	Ahja	0		H	sg n
tallopoja	####				
	#talu_poeg	0		S	sg g
Johann	Johann	0		H	sg n
Rootslasse	rootslane	se		S	adt
	£Rootslane	0		H	sg g
sullased	####				
	#sulane	d		S	pl n
Hendrik	Hendrik	0		H	sg n
Lipp	lipp	0		S	sg n
	£Lipp	0		H	sg n
ja	ja	0		J	
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Sikka	####				
	#Sikka	0		H	sg n
selle	@see	0		P	sg g
     	sell	e		S	pl p
kohto	####				
	#kohus	0		S	sg g
kätte	@kätte	0		K	
     	käsi	tte		S	adt
kaugemba	####				
	#kauge	m		C	sg g
otsusse	ots_uss	e		S	pl p
	£otsus	0		S	sg g
teggemissele	####				
	#tegemine	le		S	sg all
ärra	####				
	#ära	0		D
andnu	and=nu	0		S	sg g
     	and=nu	0		S	sg n
	£and	nu		V	nud
,	,			Z	
tõstis	tõst	is		V	s
temma	####				
	#tema	0		S	sg n
,	,			Z	
Karl	Karl	0		H	sg n
Kilter	kilter	0		S	sg n
	£Kilter	0		H	sg n
tännasel	####				
	#tänane	l		A	sg ad	
päival	####				
	#päev	l		S	sg ad
järel	@järel	0		D	
     	järel	0		K	
seisvad	seisev	d		A	pl n
	£seisev	d		A	sg p
kaibust	####				
	#kaebus	t		S	sg p
:	:			Z	
Tamma	####				
	#tema	0		P	sg n
,	,			Z	
Karl	Karl	0		H	sg n
Kilter	kilter	0		S	sg n
	£Kilter	0		H	sg n
