Toomas	@Toomas	0		H	sg n
      	Toomas	s		H	sg in
      	too	mas		V	mas
Mikk	Mikk	0		H	sg n
,	,			Z	
Taeverest	####				
	#Tae_vere	st		H	sg el
,	,			Z	
tuli	tuli	0		S	sg n
    	@tule	i		V	s
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
ka	ka	0		D	
kaebas	kaeba	s		V	s
:	:			Z	
arvata	@arva	ta		V	da
      	arva	ta		V	ta
      	arvata	0		D	
10	10	0		N	?
aasta	@aasta	0		S	sg g
     	aasta	0		S	sg n
eest	eest	0		D	
    	@eest	0		K	
    	esi	st		S	sg el
olla	ole	a		V	da
kaebaja	@kaebaja	0		S	sg g
       	kaebaja	0		S	sg n
vend	vend	0		S	sg n
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Mikk	Mikk	0		H	sg n
ära	@ära	0		D	
   	ära	0		V	neg o
surnud	surnu	d		S	pl n
      	surnud	0		A	
      	surnud	0		A	sg n
      	surnud	d		A	pl n
      	@sure	nud		V	nud
,	,			Z	
kellel	kes	l		P	pl ad
      	@kes	l		P	sg ad
üks	üks	0		N	sg n
   	@üks	0		P	sg n
varandus	varandus	0		S	sg n
järel	@järel	0		D	
     	järel	0		K	
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
sel	@see	l		P	sg ad
   	sel	0		Y	?
aial	aed	l		S	sg ad
	£aeg	l		S	sg ad
kohtu	kohtu	0		V	o
     	@kohus	0		S	sg g
poolt	pool	t		N	sg p
     	pool	t		S	sg p
     	poolt	0		D	
     	@poolt	0		K	
raha	@raha	0		S	sg g
    	raha	0		S	sg n
    	raha	0		S	sg p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
takseeritud	@takseeri	tud		V	tud
           	takseeri=tu	d		S	pl n
           	takseeri=tud	0		A	
           	takseeri=tud	0		A	sg n
           	takseeri=tud	d		A	pl n
saanud	@saa	nud		V	nud
      	saa=nud	0		A	
      	saa=nud	0		A	sg n
      	saa=nud	d		A	pl n
      	saanu	d		S	pl n
ja	ja	0		J	
tema	@tema	0		P	sg g
    	tema	0		P	sg n
järel	järel	0		D	
     	@järel	0		K	
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
laste	@laps	te		S	pl g
     	last	e		S	pl p
heaks	hea	ks		A	sg tr
     	hea	ks		S	sg tr
     	heaks	0		D	
     	@heaks	0		K	
pidanud	@pida	nud		V	nud
       	pida=nu	d		S	pl n
       	pida=nud	0		A	
       	pida=nud	0		A	sg n
       	pida=nud	d		A	pl n
saama	@saa	ma		V	ma
     	saam	0		S	adt
     	saam	0		S	sg g
     	saam	0		S	sg p
.	.			Z	
Et	et	0		J	
nüüd	nüüd	0		D	
aga	aga	0		J	
surnud	surnu	d		S	pl n
      	surnud	0		A	
      	surnud	0		A	sg n
      	surnud	d		A	pl n
      	@sure	nud		V	nud
venna	vend	0		S	sg g
naine	naine	0		S	sg n
Mari	Mari	0		H	sg g
    	mari	0		S	sg g
    	mari	0		S	sg n
    	@Mari	0		H	sg n
    	mari	0		S	sg n
    	mari	0		S	sg p
Priido	####				
	#Priido	0		H	sg n
Jaansonile	Jaanson	le		H	sg all
mehele	mees	le		S	sg all
läinud	läinu	d		S	pl n
      	läinud	0		A	
      	läinud	0		A	sg n
      	läinud	d		A	pl n
      	@mine	nud		V	nud
ja	ja	0		J	
keik	####				
	#kõik	0		P	sg n
see	see	0		P	sg n
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Mikkust	####				
	#Mikk	st		H	sg el
järel	@järel	0		D	
     	järel	0		K	
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
varandus	varandus	0		S	sg n
Priido	####				
	#Priido	0		H	sg n
Jaansoni	Jaanson	0		H	sg g
kätte	@kätte	0		K	
     	käsi	tte		S	adt
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
,	,			Z	
kus	kus	0		D	
ta	tema	0		P	sg g
  	@tema	0		P	sg n
praegu	praegu	0		D	
olla	ole	a		V	da
,	,			Z	
ja	ja	0		J	
veel	@veel	0		D	
    	vesi	l		S	sg ad
,	,			Z	
et	et	0		J	
niisuge	####				
	#nii_sugune	0		P	sg n
järel	@järel	0		D	
     	järel	0		K	
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
varanduse	varandus	0		S	sg g
üle	üle	0		D	
   	@üle	0		K	
mingisgust	####				
	#mingi_sugune	t		P	sg p
selgust	selgus	t		S	sg p
ega	ega	0		D	
   	@ega	0		J	
põhja	põhja	0		V	o
     	põhi	0		S	adt
     	põhi	0		S	sg g
     	@põhi	0		S	sg p
enam	enam	0		C	sg n
    	@enam	0		D	
ei	ei	0		D	
  	@ei	0		V	neg
olla	ole	a		V	da
,	,			Z	
sest	see	st		P	sg el
    	@sest	0		J	
et	et	0		J	
asjasse	asi	sse		S	sg ill
puutuvad	puutu	vad		V	vad
        	@puutuv	d		A	pl n
kogukonna	kogukond	0		S	sg g
kohtu	kohtu	0		V	o
     	@kohus	0		S	sg g
protokollid	@protokoll	d		S	pl n
           	protokolli	d		V	d
tulekahju	@tule_kahju	0		S	sg g
         	tule_kahju	0		S	sg n
         	tule_kahju	0		S	sg p
läbi	läbi	0		D	
    	@läbi	0		K	
    	läbi	0		V	o
hukka	@hukka	0		D	
     	hukka	0		V	o
saanud	@saa	nud		V	nud
      	saa=nud	0		A	
      	saa=nud	0		A	sg n
      	saa=nud	d		A	pl n
      	saanu	d		S	pl n
,	,			Z	
siis	siis	0		D	
    	@siis	0		J	
paluda	palu	da		V	da
kaebaja	kaebaja	0		S	sg g
       	@kaebaja	0		S	sg n
kohut	kohus	t		S	sg p
,	,			Z	
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
seletada	seleta	da		V	da
ja	ja	0		J	
surnud	surnu	d		S	pl n
      	surnud	0		A	
      	surnud	0		A	sg n
      	surnud	d		A	pl n
      	@sure	nud		V	nud
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Mikku	Mikk	0		H	adt
     	Mikk	0		H	sg p
	£Mikk	0		H	sg g
pärandajate	päranda=ja	te		S	pl g
vöörmündri	vöörmünder	0		S	sg g
Mihkel	@Mihkel	0		H	sg n
      	mihkel	0		A	sg n
      	mihkel	0		S	sg n
Mikku	Mikk	0		H	adt
     	@Mikk	0		H	sg p
kui	kui	0		D	
   	@kui	0		J	
tarvis	@tarvis	0		D	
      	tarvis	0		K	
vastamise	vastamine	0		S	sg g
alla	alla	0		D	
    	@alla	0		K	
võtta	võt	a		V	da
,	,			Z	
et	et	0		J	
tema	tema	0		P	sg g
    	@tema	0		P	sg n
asja	asi	0		S	adt
    	asi	0		S	sg g
    	@asi	0		S	sg p
siia	@siia	0		D	
    	siig	0		S	sg g
maale	@maa	le		S	sg all
     	maal	e		S	pl p
ei	ei	0		D	
  	@ei	0		V	neg
ole	ole	0		V	o
õige	@õige	0		A	sg g
    	õige	0		A	sg n
    	õige	0		D	
põhja	põhja	0		V	o
     	põhi	0		S	adt
     	@põhi	0		S	sg g
     	põhi	0		S	sg p
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
seadinud	####				
	#sead	nud		V	nud
.	.			Z	
Ühtlasi	ühtlane	i		A	pl p
       	@ühtlasi	0		D	
palus	palu	s		S	sg in
     	@palu	s		V	s
kaebaja	kaebaja	0		S	sg g
       	@kaebaja	0		S	sg n
,	,			Z	
et	et	0		J	
see	see	0		P	sg n
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Mikkust	####				
	#Mikk	st		H	sg el
järel	@järel	0		D	
     	järel	0		K	
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
varandus	varandus	0		S	sg n
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
Priido	####				
	#Priido	0		H	sg n
Jaansoni	Jaanson	0		H	sg g
kätte	@kätte	0		K	
     	käsi	tte		S	adt
jäänud	@jää	nud		V	nud
      	jäänu	d		S	pl n
      	jäänud	0		A	
      	jäänud	0		A	sg n
      	jäänud	d		A	pl n
,	,			Z	
selle	@see	0		P	sg g
     	sell	e		S	pl p
käest	@käest	0		K	
     	käsi	st		S	sg el
saaks	saa	ks		V	ks
sedamaid	seda_maid	0		D	
ühes	üks	s		N	sg in
    	üks	s		P	sg in
    	ühes	0		D	
    	@ühes	0		K	
säädusliku	####				
	#seaduslik	0		A	sg g
protsentidega	protsent	dega		S	pl kom
välja	@välja	0		D	
     	välja	0		V	o
     	väli	0		S	adt
     	väli	0		S	sg g
     	väli	0		S	sg p
nõutud	nõu=tu	d		S	pl n
      	nõu=tud	0		A	
      	nõu=tud	0		A	sg n
      	nõu=tud	d		A	pl n
      	@nõud	tud		V	tud
      	nõutu	d		A	pl n
ja	ja	0		J	
kogukonna	kogukond	0		S	sg g
kohtu	kohtu	0		V	o
     	@kohus	0		S	sg g
hoole	hoog	le		S	sg all
     	@hool	0		S	sg g
     	hoole	0		S	sg n
alla	alla	0		D	
    	@alla	0		K	
valla	@vald	0		S	sg g
     	valla	0		D	
laadikusse	laadik	sse		S	sg ill
protsenti	protsent	0		S	adt
         	@protsent	0		S	sg p
kandma	kand	ma		V	ma
pantud	####				
	#pane	tud		V	tud
nimetud	nimetu	d		A	pl n
	£nimeta	tud		V	tud
pärandajate	päranda=ja	te		S	pl g
heaks	hea	ks		A	sg tr
     	hea	ks		S	sg tr
     	heaks	0		D	
     	@heaks	0		K	
,	,			Z	
kes	@kes	0		P	pl n
   	kes	0		P	sg n
veel	@veel	0		D	
    	vesi	l		S	sg ad
täieealised	täie_ealine	d		A	pl n
ei	ei	0		D	
  	@ei	0		V	neg
olla	ole	a		V	da
.	.			Z	
Priido	####				
	#Priido	0		H	sg n
Jaanson	Jaanson	0		H	sg n
sai	@saa	i		V	s
   	sai	0		S	sg n
ette	@ette	0		D	
    	ette	0		K	
    	esi	tte		S	adt
nõutud	nõu=tu	d		S	pl n
      	nõu=tud	0		A	
      	nõu=tud	0		A	sg n
      	nõu=tud	d		A	pl n
      	@nõud	tud		V	tud
      	nõutu	d		A	pl n
,	,			Z	
kes	kes	0		P	pl n
   	@kes	0		P	sg n
kaebduse	####				
	#kaebus	0		S	sg g
peale	pea	le		S	sg all
     	peale	0		D	
     	@peale	0		K	
vastas	@vasta	s		V	s
      	vastas	0		D	
      	vastas	0		K	
:	:			Z	
see	see	0		P	sg n
olla	ole	a		V	da
tõsi	tõsi	0		S	pl p
    	@tõsi	0		S	sg n
,	,			Z	
et	et	0		J	
surnud	surnu	d		S	pl n
      	surnud	0		A	
      	surnud	0		A	sg n
      	surnud	d		A	pl n
      	@sure	nud		V	nud
Jaan	@Jaan	0		H	sg n
    	jaan	0		S	sg n
    	jaan	0		Y	?
Mikku	Mikk	0		H	adt
     	Mikk	0		H	sg p
	£Mikk	0		H	sg g
varandus	varandus	0		S	sg n
,	,			Z	
mis	mis	0		P	pl n
   	@mis	0		P	sg n
