text	root	ending	clitic	partofspeech	form
Malkov	Malkov	0		H	sg n
Maalmann	Maalmann	0		H	sg n
Rõhu	Rõhu	0		H	sg n
Luchar	Luchar	0		H	sg n
Tootsmann	Tootsmann	0		H	sg n
Vallavöölmönder	Vallavöölmönder	0		H	sg n
Krapsil	Kraps	l		H	sg ad
Juhkamsooni	Juhkamson	0		H	sg g
Jansen	Jansen	0		H	sg n
Jakobs	Jakobs	0		H	sg n
Mudas	Mudas	0		H	sg n
G.	G.	0		Y	sg n
Kongutast	Kongutast	st		H	sg n
Krug	Krug	0		H	sg n
rbl	rbl	0		Y	?
Vidrik	Vidrik	0		H	sg n
Saarelt	Saarelt	lt		H	sg n
Paulsonist	Paulson	t		H	sg p
Puckzicht	Puckzicht	0		H	sg n
Jukamsoni	Jukamsoni	0		H	sg n
Marmoni	Marmon	0		H	sg g
tähendud	tähenda	dud		V	tud
Piksoni	Pikson	0		H	sg g
Moisina	Moisina	0		H	sg n
Märtsul	Märtsul	0		H	sg n
Olga	Olga	0		H	sg n
Kabriel	Kabriel	0		H	sg n
Luhaär	Luhaär	0		H	sg n
Vasara	Vasar	0		H	sg g
Daavit	Daavit	0		H	sg n
Ratsepal	Ratsepal	0		H	sg n
Joonalt	Joonalt	lt		H	sg n
Hunt	Hunt	0		H	sg n
Jaanu	Jaan	0		H	sg g
Luhäar	Luhäar	0		H	sg n
J	J	0		Y	sg n
Parnapuu	Parnapuu	0		H	sg n
Lint	Lint	0		H	sg n
saisab	seis	b		V	b
Sääl	Sääl	0		H	sg n
jargmiselt	järgmiselt	0		D	
Kraps	Kraps	0		H	sg n
Linde	Linde	0		H	sg n
Parveotsa	Parveots	0		H	sg g
Arro	Arro	0		H	sg n
teedna	tead	na		V	vat
Merdi	Merdi	0		H	sg n
enambide	enamasti	0		D	
pää	pea	0		S	sg n
Lindi	Lindi	0		H	sg n
Aidak	Aidak	0		H	sg n
Toomas	Toomas	0		H	sg n
Mihke	Mihke	0		H	sg n
Englis	Englis	0		H	sg n
Podratschiku	Podrätsik	0		H	sg g
Papllul	Papllul	0		H	sg n
esa	isa	0		P	sg g
Poolen	Poolen	0		H	sg n
Duuberg	Duuberg	0		H	sg n
Valgeresti	Valgerist	0		H	sg g
Maalmanil	Maalmann	l		H	sg ad
Peeter	Peeter	0		H	sg n
tennu	tege	nu		V	nud
Jakobson	Jakobson	0		H	sg n
Pausloni	Pausloni	0		H	sg n
Parveotsal	Parveots	l		H	sg ad
Puhzichtiga	Puhzichi	ga		H	sg kom
Valla	Valla	0		H	sg n
Andresson	Andresson	0		H	sg n
Tamminge	Tamminge	0		H	sg n
Haage	Haage	0		H	sg n
Liivi	Liivi	0		H	sg n
Karuline	Karuline	0		H	sg n
Arumõisa	Arumõisa	0		H	sg n
AT	AT	0		Y	sg n
Hansu	Hansu	0		H	sg n
Jaak	Jaak	0		H	sg n
Naanuga	Naanu	ga		H	sg kom
Orava	Orav	0		H	sg g
perijade	pärija	del		S	pl g
Holzman	Holzman	0		H	sg n
Lester	Lester	0		H	sg n
Kicho	Kicho	0		H	sg n
purnud	sure	nud		V	nud
Karijärve	Karijärve	0		H	sg n
perijadel	pärija	del		S	pl ad
Konguta	Konguta	0		H	sg n
Prüis	Prüis	0		H	sg n
Raalili	Raali	0		H	sg g
Paulsoni	Paulsoni	0		H	sg n
Keermannil	Keerman	l		H	sg ad
Letta	Letta	0		H	sg n
Mõtsalind	Mõtsalind	0		H	sg n
Johannson	Johan	0		H	sg g
Tilison	Tilison	0		H	sg n
Solba	Solba	0		H	sg n
vöölmöndrid	vöörmünder	d		S	pl n
1883.	Olga	0		H	sg g
Poolemõisa	Poolemõisa	0		H	sg n
K.	K.	0		Y	sg n
Rätsepa	Rätsep	0		H	sg g
Vanambalt	Vanambalt	lt		H	sg n
Sassi	Sassi	0		H	sg n
Rekkand	Rekkand	0		H	sg n
Luchäär	Luchar	0		H	sg g
Soo	Soo	0		H	sg n
Mäel	Mäel	l		H	sg n
Aruella	Aruella	0		H	sg n
   	ala	0		D	
Malm	Malm	0		H	sg n
Kardri	Kardri	0		H	sg n
Tartu	Tartu	0		H	sg n
perast	pärast	0		D	
Reinu	Reinu	0		H	sg n
Küinla	Küinla	0		H	sg n
Kopli	Kopli	0		H	sg n
Luunja	Luunja	0		H	sg n
Pandil	Pandi	l		H	sg ad
Kukkemelgile	Kukkemelk	le		H	sg all
Pehap	Pehap	0		H	sg n
Ivask	Ivask	0		H	sg n
Auustatud	Auustatud	d		H	sg n
Vasar	Vasar	0		H	sg n
Mango	Mango	0		H	sg n
Mõtsavahi	Mõtsavahi	0		H	sg n
A.	A.	0		Y	sg n
Nano	Nano	0		H	sg n
Mitt	Mitt	0		H	sg n
