text	root	ending	clitic	partofspeech	form
Ida	Ida	0		H	sg n
Völmündre	Völmündre	0		H	sg n
Mihklipäivas	Mihklipäivas	0		H	sg n
Raudsepa	Raudsepa	0		H	sg n
Savik	Savik	0		H	sg n
Mälku	Mälku	0		H	sg n
Essast	Essast	st		H	sg n
Lokul	Lokul	0		H	sg n
Kamerist	Kamerist	st		H	sg n
Kogoldi	Kogold	0		H	sg g
Keiserlik	Keiserlik	0		H	sg n
Ivani	Ivan	0		H	sg g
Liisul	Liisul	0		H	sg n
Luhal	Luha	l		H	sg ad
Linnast	Linnan	t		H	sg p
Lievatile	Lievatile	0		H	sg n
Koolmeister	Koolmeister	0		H	sg n
ernit	hernes	it		S	pl p
Lüha	Lüha	0		H	sg n
Tullekahju	Tullekahju	0		H	sg n
völmündres	vöörmünder	s		S	sg tr
Särrele	Särre	le		H	sg all
Sikka	Sikka	0		H	sg n
Särg	Särg	0		H	sg n
Kõrvo	Kõrvo	0		H	sg n
kaibuse	kaebus	0		S	sg g
Toomil	Toom	l		H	sg ad
Koppel	Koppel	0		H	sg n
Sobel	Sobel	0		H	sg n
Grossberg	Grossberg	0		H	sg n
Venni	Venni	0		H	sg n
Zobeli	Zobeli	0		H	sg n
Margus	Margus	0		H	sg n
tõist	teine	t		P	sg p
Desatini	Desatini	0		H	sg n
Kartoflida	Kartoflida	0		H	sg n
Sillaotsa	Sillaotsa	0		H	sg n
sehen	sees	0		K	
seemend	seeme	d		S	sg p
Talliste	Talliste	0		H	sg n
Ivan	Ivan	0		H	sg n
massma	maks	ma		V	ma
Anko	Anko	0		H	sg n
Vakkamaade	Vakkamaa	0		H	sg g
Tedrele	Tedrele	0		H	sg n
temmale	tema	le		P	sg ad
Anna	Anna	0		H	sg n
Taskin	Task	0		H	sg g
Vallakassaku	Vallakassaku	0		H	sg n
Roots	Roots	0		H	sg n
Jägerile	Jäger	le		H	sg all
Sõssar	Sõssar	0		H	sg n
est	eest	0		K	
ülles	üles	0		D	
Vuksil	Vuks	l		H	sg ad
Haslavast	Haslava	t		H	sg p
Sepp	Sepp	0		H	sg n
Roijo	Roijo	0		H	sg n
hobuse	hobune	0		S	pl n
Juhas	Juhas	0		H	sg n
Toomi	Toom	0		H	sg g
Võsso	Võsso	0		H	sg n
Jürripäeval	Jürri	l		H	sg ad
jure	juurde	0		K	
Võssu	Võsso	0		H	sg n
Kogold	Kogold	0		H	sg n
Vellest	Vellest	0		H	sg n
Madison	Madison	0		H	sg n
Järrelseisva	Järrelseisva	0		H	sg n
Vaska	Vaska	0		H	sg n
Meijersi	Meijer	0		H	sg g
Meijeri	Meijer	0		H	sg g
jõva	jõud	0		V	o
Kitzing	Kitzing	0		H	sg n
Lievad	Lieva	d		H	sg g
mes	mis	0		P	sg n
p	p	0		Y	sg n
Tull	Tull	0		H	sg n
Kambjast	Kambjast	st		H	sg n
Lõhmuse	Lõhmus	0		H	sg g
Vebruarl	veebruar	l		S	sg ad
Kautzi	Kautzi	0		H	sg n
Teder	Teder	0		H	sg n
Köhr	Köhr	0		H	sg n
Bergman	Bergman	0		H	sg n
Kõivu	Kõiv	0		H	sg g
Aber	Aber	0		H	sg n
Moistetu	mõist	tu		V	tud
Julist	Julist	0		H	sg n
Kieterile	Kieter	le		H	sg all
Johanes	Johan	0		H	sg g
Vakkamaad	Vakka	d		H	sg g
Kertsu	Kertsu	0		H	sg n
Lemingil	Leming	l		H	sg ad
