text	root	ending	clitic	partofspeech	form
üts	üks	0		N	sg n
Ala	Ala	0		H	sg n
Raag	Raag	0		H	sg n
Zirnask	Zirnask	0		H	sg n
kokko	kokku	0		D	
Vaste-Koiola	Vaste-Koiola	0		H	sg n
Võitra	Võitra	0		H	sg n
kats	kaks	0		N	sg n
Adel	Adel	0		H	sg n
G.	G.	0		Y	?
Kahre	Kahre	0		H	sg n
Mai	Mai	0		H	sg n
Kaib	Kaib	0		H	sg n
Thal	Thal	0		H	sg n
kolmitedus	kolmita	dus		V	tud tr
Torropi	Torrop	0		H	sg g
tetta	tege	ta		V	da
poig	poeg	0		S	sg n
Küppasele	Küppas	le		H	sg all
Livämagi	Livämagi	0		H	sg n
Ander	Ander	0		H	sg n
Thalile	Thal	le		H	sg all
Arro	Arro	0		H	sg n
ütlep	ütle	p		V 	b
mino	mina	0		P	sg g
Listak	Listak	0		H	sg n
Herrale	Herrale	0		H	sg n
W.	W.	0		Y	sg n
Kinsigo	Kinsigo	0		H	sg n
tõisi	teine	si		P	p
Kehrbergil	Kehrberg	l		H	sg ad
Kiltre	Kilter	0		H	sg n
Puraskile	Purask	le		H	sg all
Saksa	Saks	0		H	sg g
kudada	kudu	da		V	da
Kikkas	Kikkas	0		H	sg n
Peeter	Peeter	0		H	sg n
ravva	raud	0		S	pl n
ütli	ütle	i		V	sin
Juhann	Juhann	0		H	sg n
katski	katki	0		D	
Valla	Valla	0		H	sg n
Villand	Villem	0		H	sg g
Kohtom	Kohtom	0		H	sg n
Balm	Balm	0		H	sg n
I	I	0		Y	sg n
Samuel	Samuel	0		H	sg n
Pragi	Pragi	0		H	sg n
Himmale	Himma	le		H	sg all
Küppas	Küppas	0		H	sg n
Maijel	Maij	l		H	sg ad
Leno	Leno	0		H	sg n
Anne	Anne	0		H	sg n
Vill	Vill	0		H	sg n
Posle	Posle	0		H	sg n
lesi	lask	i		V	sin
Gustav	Gustav	0		H	sg n
Udraskile	Udras	le		H	sg all
Villandile	Villand	le		H	sg all
proomi	proov	0		S	sg g
Armolikule	Armolik	le		H	sg all
Räbovõitra	Räbovõitra	0		H	sg n
K.	K.	0		Y	sg n
Peril	Peri	l		H	sg ad
enamb	enam	0		D	
Poio	Poio	0		H	sg n
Dannenberg	Dannenberg	0		H	sg n
Vöörmündre	Vöörmündre	0		H	sg n
kudanu	kudu	nu		V	nud
paasmat	pasmas	t		S	sg p
Livamäega	Livamägi	ga		H	sg kom
Tisler	Tisler	0		H	sg n
saije	saa	ie		V	s
Tannil	Tannil	0		H	sg n
Jürgensohn	Jürgenson	0		H	sg g
Rumme	Rumme	0		H	sg n
Saarva	Saarva	0		H	sg n
Katre	Katre	0		H	sg n
mes	mis	0		P	sg n
Rammulüüs	Rammulüüs	0		H	sg n
Lilloveer	Lilliveer	0		H	sg n
Seeme	Seeme	0		H	sg n
Vöörmönder	Vöörmönder	0		H	sg n
Herma	Herm	0		H	sg g
Karel	Karel	0		H	sg n
põlt	põll	0		S	sg n
Turvas	Turvas	0		H	sg n
Nimitedu	Nimitedu	0		H	sg n
Kogokonna	kogu_kond	0		S	sg g
Vassiljev	Vassiljev	0		H	sg n
Vido	Vido	0		H	sg n
Hermannil	Hermann	l		H	sg ad
Ritzar	Ritzar	0		H	sg n
Sarri	Sarri	0		H	sg n
Prükk	Prükk	0		H	sg n
kogokonna-kohto	kogukonna_kohus	0		S	sg g
Võrole	Võro	le		H	sg all
rohkemb	rohkemb	0		D	
Adam	Adam	0		H	sg n
Livamäele	Livamägi	le		H	sg all
Roos	Roos	0		H	sg n
Vastse-Koiola	Vastse-Koiola	0		H	sg n
Käpa	Käpa	0		H	sg n
Purrasson	Purrasson	0		H	sg n
Müürsep	Müürsep	0		H	sg n
M.	M.	0		Y	sg n
Vägi	Vägi	0		H	sg n
Hermal	Herm	l		H	sg ad
lännu	mine	nu		V	nud
Jürgenson	Jürgenson	0		H	sg n
ommava	ole	va		V	vad
varastetu	varasta	tu		V	tud
Talo	Talo	0		H	sg n
Listakule	Listakule	0		H	sg n
annu	and	nu		V	nud
üleven	üleval	0		D	
Plaksole	Plaks	le		H	sg all
Võru	Võru	0		H	sg n
olli	ole	li		V	s
pantus	pane	tus		V	tud tr
Kaivatav	Kaivatav	0		H	sg n
Aado	Aado	0		H	sg n
Puraskil	Purask	l		H	sg ad
Tilger	Tilger	0		H	sg n
Uhha	Uhha	0		H	sg n
Müürsepa	Müürsep	0		H	sg g
Vall	Vall	0		H	sg n
kos	kus	0		D	
Peetri	Peetri	0		H	sg n
mõsa	mõis	0		S	sg g
Heermannile	Heermannile	0		H	sg n
Pää	Pää	0		H	sg n
Miche	Miche	0		H	sg n
Katri	Katri	0		H	sg n
Lovisa	Lovisa	0		H	sg n
moni	mõni	0		P	sg n
voime	või	me		V	me
selleperast	sellepärast	0		D	
Zenkson	Zenkson	0		H	sg n
Kristian	Kristian	0		H	sg n
Veriora	Veriora	0		H	sg n
Keerdo	Keerdo	0		H	sg n
Kehrbergi	Kehrberg	0		H	sg g
Kaartsare	Kaartsare	0		H	sg n
Zolgo	Zolgo	0		H	sg n
Armolik	Armolik	0		H	sg n
Üdras	Üdras	0		H	sg n
katest	kaks	est		N	sg el
Kerrik	Kerrik	0		H	sg n
Vana-	Vana-	0		H	sg n
Säält	sealt	0		D	
Adelile	Adel	le		H	sg all
V.	V.	0		Y	sg n
Jaanil	Jaan	l		H	sg ad
Pazi	Pazi	0		H	sg n
Ilja	Ilja	0		H	sg n
sõagu	suga	ga		S	sg kom
Arikol	Ariko	l		H	sg ad
Voormonder	Voormonder	0		H	sg n
Himma	Himma	0		H	sg n
Peter	Peter	0		H	sg n
Võso	Võso	0		H	sg n
Sari	Sari	0		H	sg n
P.	P.	0		Y	sg n
Prükka	Prükka	0		H	sg n
E.	E.	0		Y	?
Polak	Polak	0		H	sg n
Katrega	Katrega	ga		H	sg n
Poiole	Poio	le		H	sg all
Otz	Otz	0		H	sg n
Mita	Mita	0		H	sg n
tõist	teine	t		P	sg p
tuvva	too	va		V	da
Jürgensonn	Jürgensonn	0		H	sg n
kuigo	kuigi	0		D	
Purrask	Purrask	0		H	sg n
Puraski	Purask	0		H	sg g
Ritzaril	Ritzar	l		H	sg ad
Lilliveer	Lilliveer	0		H	sg n
Aadam	Aadam	0		H	sg n
Veesveer	Veesveer	0		H	sg n
kohto	kohus	0		S	sg g
oliva	ole	iva		V	sid
langa	lõng	0		S	sg p
Rebovoitra	Rebovoitra	0		H	sg n
sisen	sees	0		K	
Kohtromehe	Kohtromehe	0		H	sg n
Sarja	Sarja	0		H	sg n
Ann	Ann	0		H	sg n
Udrase	Udras	0		H	sg g
Zirnaskile	Zirnask	le		H	sg all
valda	valda	0		H	sg n
hammid	hame	id	S	pl p	
Aigro	Aigru	0		H	sg n
Purro	Purro	0		H	sg n
Moisa	Moisa	0		H	sg n
vallast	vallast	st		H	sg n
Torrop	Torrop	0		H	sg n
ahtamba	ahtam	0		C	pl n
Peep	Peep	0		H	sg n
Hendriksohn	Hendriksohn	0		H	sg n
Leis	Leis	0		H	sg n
Mõts	Mõts	0		H	sg n
Thomas	Thomas	0		H	sg n
Kersna	Kersna	0		H	sg n
Jaaniga	Jaan	ga		H	sg kom
Jakob	Jakob	0		H	sg n
Moller	Moller	0		H	sg n
Lilloverile	Lilliveer	le		H	sg all
Lenksohn	Lenksohn	0		H	sg n
nema	tema	0		P	pl n
Tatti	Tatti	0		H	sg n
Postile	Postile	0		H	sg n
Ollesk	Ollesk	0		H	sg n
Kohtomehe	Kohtomehe	0		H	sg n
Kachre	Kachre	0		H	sg n
Johann	Johann	0		H	sg n
Tilsi	Tilsi	0		H	sg n
Torropile	Torrop	le		H	sg all
Rammuli	Rammuli	0		H	sg n
Meije	Meije	0		H	sg n
jo	juhi	0		D	
Tilga	Tilga	0		H	sg n
Melzar	Melzar	0		H	sg n
Seene	Seene	0		H	sg n
Jaani	Jaan	0		H	sg g
perra	perra	0		K	
Adeli	Adeli	0		H	sg n
Saksale	Saks	le		H	sg all
saap	saa	p		V	b
Kannu	Kanna	0		H	sg n
Mõtz	Mõtz	0		H	sg n
Väimela	Väimela	0		H	sg n
pääle	peale	0		K	
saina	sein	0		S	sg p
Molleri	Molleri	0		H	sg n
varastedu	varasta	du		V	tud
Laugale	Laugale	0		H	sg n
tõise	teine	0		P	sg g
Hermannega	Hermann	ga		H	sg kom
R.	R.	0		Y	sg n
Purask	Purask	0		H	sg n
Koiola	Koiola	0		H	sg n
Mari	Mari	0		H	sg n
Joosep	Joosep	0		H	sg n
nimitedu	nimeta	du		V	tud
Olleks	Ollesk	0		H	sg n
1te	üks	te		N	sg g
Kehrbergile	Kehrberg	le		H	sg all
Joosu	Joosu	0		H	sg n
Paal	Paal	0		H	sg n
Hofgerichto	Hofgerichto	0		H	sg n
Kannale	Kanna	le		H	sg all
kevaja	kevad	0		S	sg g
Rammo	Rammo	0		H	sg n
Nõumehhe	Nõumehhe	0		H	sg n
Jaanile	Jaan	le		H	sg all
Vallavallitsusse	Vall	sse		H	sg ill
esale	isa	le		S	sg all
Hendriki	Hendrik	0		H	sg g
Pollakul	Pollak	l		H	sg ad
Otsa	Otsa	0		H	sg n
kabla	kabel	0		S	pl n
Parro	Parro	0		H	sg n
Krebetz	Krebetz	0		H	sg n
Eva	Eva	0		H	sg n
Tanel	Tanel	0		H	sg n
kogokonna-kohtol	kogukonna_kohus	l		S	sg ad
aijast	aed	st		S	sg el
Kaarel	Kaarel	0		H	sg n
Himmaga	Himma	ga		H	sg kom
Paul	Paul	0		H	sg n
Hermaga	Hermaga	ga		H	sg n
Michli	Michli	0		H	sg n
Torop	Torop	0		H	sg n
Vana-Koiola	Vana-Koiola	0		H	sg n
esiki	isegi	0		D	
Mägi	Mägi	0		H	sg n
Johanni	Johann	0		H	sg g
Otza	Otza	0		H	sg n
Luhde	Luhde	0		H	sg n
Seder	Seder	0		H	sg n
Võõpsu	Võõpsu	0		H	sg n
löitu	leid	tu		V	tud
