text	root	ending	clitic	partofspeech	form
pöksi	püks	0		S	pl n
Jürjenson	Jürjenson	0		H	sg n
Susaar	Susaar	0		H	sg n
Villakov	Villakov	0		H	sg n
ollit	ole	lit		V	sid
Otto	Otto	0		H	sg n
G.	G.	0		Y	sg n
Leppikovil	Leppikov	l		H	sg ad
Brandt	Brandt	0		H	sg n
Möldre	Möldre	0		H	sg n
Lepman	Lepman	0		H	sg n
Hüsatsit	Hüsatsit	t		H	sg n
Jonasse	Jonas	sse		H	sg ill
Jännestele	Jännestele	le		H	sg n
Dobrand	Dobrand	0		H	sg n
Johhurga	Johhurga	0		H	sg n
Riviku	Rivik	0		H	sg g
Vangre	Vangre	0		H	sg n
Villetsaar	Villetsaar	0		H	sg n
Ort	Ort	0		H	sg n
Ivvaniga	Ivvan	ga		H	sg kom
Krisjan	Krisjan	0		H	sg n
rehen	rehi	n		S	sg in
Malton	Malton	0		H	sg n
Him	Him	0		H	sg n
Mälton	Mälton	0		H	sg n
Kunsingile	Kunsing	le		H	sg all
Võikmani	Võikmani	0		H	sg n
Lask	Lask	0		H	sg n
Peedu	Peedu	0		H	sg n
Kimmile	Kimmi	le		H	sg all
Trangi	Trangi	0		H	sg n
Jakopit	Jakob	t		H	sg p
Rosneek	Rosneek	0		H	sg n
Oinats	Oinats	0		H	sg n
Peetrel	Peeter	l		H	sg ad
Nedalil	Nedal	l		H	sg ad
Sabal	Sabal	0		H	sg n
Leplandika	Lepland	0		H	sg g
Valdner	Valdner	0		H	sg n
Oinling	Oinling	0		H	sg n
Vähhi	Vähhi	0		H	sg n
Sepp	Sepp	0		H	sg n
Runhanson	Runhanson	0		H	sg n
Zirk	Zirk	0		H	sg n
Karjus	Karjus	0		H	sg n
Mõisa	Mõisa	0		H	sg n
Urgav	Urgav	0		H	sg n
Narusktrant	Narusktrant	0		H	sg n
Kimmita	Kimmi	ta		H	sg ab
Simmulmani	Simmulman	0		H	sg g
Kärtu	Kärtu	0		H	sg n
Palkovil	Palkovil	l		H	sg n
Urgard	Urgard	0		H	sg n
Zärenzele	Zärens	le		H	sg all
Michil	Michel	l		H	sg ad
Kask	Kask	0		H	sg n
Kodavand	Kodavand	0		H	sg n
Kirhäidi	Kirhäid	0		H	sg g
Kaivas	Kaivas	0		H	sg n
Ruth	Ruth	0		H	sg n
Parrind	Parrind	0		H	sg n
Parmaniga	Parman	ga		H	sg kom
Härmani	Härman	0		H	sg g
Kärtman	Kärtman	0		H	sg n
Sülgaja	Sülgaja	0		H	sg n
Käreski	Käreski	0		H	sg n
mes	mis	0		P	sg n
Palsing	Palsing	0		H	sg n
Samolet	Samolet	0		H	sg n
F.	F.	0		Y	sg n
Isaki	Isaki	0		H	sg n
Nedali	Nedal	0		H	sg g
Kristuvin	Kristuvin	0		H	sg n
Karpsepa	Karpsepa	0		H	sg n
mugu	mulk	0		S	sg g
Lilmani	Lilmani	0		H	sg n
Kiskman	Kiskman	0		H	sg n
Hendrikile	Hendriki	le		H	sg all
Kübaral	Kübar	l		H	sg ad
Meening	Meening	0		H	sg n
Using	Using	0		H	sg n
külast	külast	st		H	sg n
Iknas	Iknas	0		H	sg n
Mölde	mölder	0		S	
Maltoni	Malton	0		H	sg g
kodo	kodu	0		S	sg in
Repastmäe	Repastmäe	0		H	sg n
Mikkelsaar	Mikkelsaar	0		H	sg n
Linderi	Linderi	0		H	sg n
Heidov	Heidov	0		H	sg n
Kärtmaniga	Kärtman	ga		H	sg kom
Nink	ning	0		J	
Mari	Mari	0		H	sg n
Vritsi	Vrits	0		H	sg g
Ignas	Ignas	0		H	sg n
Kärtmani	Kärtman	0		H	sg g
Andressoni	Andresson	0		H	sg g
Vassil	Vassil	0		H	sg n
Ritsika	Ritsika	0		H	sg n
Linder	Linder	0		H	sg n
Kustav	Kustav	0		H	sg n
Rummask	Rummask	0		H	sg n
Villakin	Villakin	0		H	sg n
Himmise	Himmis	0		H	sg g
Ivvani	Ivvan	0		H	sg g
Rummaski	Rummaski	0		H	sg n
Palsingil	Palsingil	l		H	sg n
Nitsikov	Nitsikov	0		H	sg n
Hansonile	Hanson	le		H	sg all
Parmsonile	Parma	le		H	sg all
Vassili	Vassili	0		H	sg n
Veriora	Veriora	0		H	sg n
Teppakov	Teppakov	0		H	sg n
Ruthi	Ruth	0		H	sg g
Adami	Adam	0		H	sg g
valla	valla	0		H	sg n
nännu	näge	nu		V	nud
Joseb	Joseb	0		H	sg n
üten	ühes	0		D	
lähab	mine	b		V	b
Toolamaa	Toolamaa	0		H	sg n
Oinlengi	Oinlengi	0		H	sg n
Lemminge	Lemming	0		H	sg g
Jooseb	Jooseb	0		H	sg n
Rummaskil	Rummaskil	l		H	sg n
P.	P.	0		Y	sg n
Parsonile	Parson	le		H	sg all
Narustranki	Narustranki	0		H	sg n
Fritzi	Fritzi	0		H	sg n
Karli	Karli	0		H	sg n
Kristuvi	Kristov	0		H	sg g
tütrikule	tüdruk	le		S	sg all
I.	I.	0		Y	sg n
Karl	Karl	0		H	sg n
Eesti	Eesti	0		H	sg n
Operi	Oper	0		H	sg g
Jonas	Jonas	0		H	sg n
Saara	Saara	0		H	sg n
Villetsaare	Villetsaare	0		H	sg n
Hänman	Hänman	0		H	sg n
Usinge	Usinge	0		H	sg n
külaga	küla	ga		H	sg kom
Vejan	Vejan	0		H	sg n
valda	valda	0		H	sg n
Simula	Simula	0		H	sg n
Otsand	Otsand	0		H	sg n
D.	D.	0		Y	sg n
Kissari	Kissar	0		H	sg g
Rösna	Rösna	0		H	sg n
S.	S.	0		Y	sg n
Pärgile	Pärg	le		H	sg all
Kusta	Kusta	0		H	sg n
vallast	vallast	st		H	sg n
Okka	Okka	0		H	sg n
Kahkvalt	Kahkvalt	0		H	sg n
Peep	Peep	0		H	sg n
Timusk	Timusk	0		H	sg n
Thomas	Thomas	0		H	sg n
keednu	keet	nu		V	nud
Jakob	Jakob	0		H	sg n
Leppits	Leppits	0		H	sg n
Pärg	Pärg	0		H	sg n
Orrava	Orrav	0		H	sg g
Danieli	Daniel	0		H	sg g
Maksimale	Maksima	le		H	sg all
Adamile	Adam	le		H	sg all
Hindovile	Hindov	le		H	sg all
Andrei	Andrei	0		H	sg n
Märt	Märt	0		H	sg n
Parson	Parson	0		H	sg n
Suure	Suure	0		H	sg n
Imise	Imise	0		H	sg n
Juhhim	Juhhim	0		H	sg n
Jakop	Jakob	0		H	sg n
Obrandiga	Obrand	ga		H	sg kom
Sahhari	Sahhar	0		H	sg g
Adamiga	Adamil	ga		H	sg kom
Suure-Veerksu	Suure-Veerksu	0		H	sg n
Hansu	Hansu	0		H	sg n
Summa	summa	0		H	sg n
Parrinde	Parrind	0		H	sg g
Feodor	Feodor	0		H	sg n
Iknassele	Iknas	le		H	sg all
Kübara	Kübara	0		H	sg n
Lindok	Lindok	0		H	sg n
eendreseta	intress	ta		S	sg ab
Mihkli	Mihkli	0		H	sg n
Vija	Vija	0		H	sg n
Panov	Panov	0		H	sg n
Runhansoni	Runhansoni	0		H	sg n
Kiridov	Kiridov	0		H	sg n
Parind	Parind	0		H	sg n
Samoilov	Samoilov	0		H	sg n
Zernandit	Zernand	t		H	sg p
Ivan	Ivan	0		H	sg n
Peetrele	Peeter	le		H	sg all
Puksandile	Puksandi	le		H	sg all
Jürgensoni	Jürgensoni	0		H	sg n
Jaanile	Jaan	le		H	sg all
Kistuvingil	Kistuvingil	l		H	sg n
Joosepika	Joosepika	0		H	sg n
Hendriki	Hendriki	0		H	sg n
Simmulmanile	Simmulman	le		H	sg all
Gustav	Gustav	0		H	sg n
Musting	Musting	0		H	sg n
sugutse	sugune	0		A	sg g
Tartun	Tartun	0		H	sg n
Kärtmanile	Kärtman	le		H	sg all
Rosneekile	Rosneek	le		H	sg all
Kimmi	Kimmi	0		H	sg n
Kristan	Kristan	0		H	sg n
Võõpsu	Võõpsu	0		H	sg n
Andresson	Andresson	0		H	sg n
peran	peras	0		K	
Himm	Himm	0		H	sg n
Väikse	Väikse	0		H	sg n
Leplanti	Lepland	0		H	sg g
Nedalile	Nedal	le		H	sg all
Sulz	Sulz	0		H	sg n
Kullu	Kullu	0		H	sg n
Toolama	Toolama	0		H	sg n
Parmakson	Parman	0		H	sg g
Tobre	Tobre	0		H	sg n
Parmsoni	Parmsoni	0		H	sg n
Gottlip	Gottlib	0		H	sg n
Maksima	Maksima	0		H	sg n
Daniel	Daniel	0		H	sg n
Kissar	Kissar	0		H	sg n
hendale	ise	le		P	sg all
Iisakile	Iisak	le		H	sg all
Vaaksil	Vaaks	l		H	sg ad
Sambla	Sambla	0		H	sg n
Kärtmanil	Kärtman	l		H	sg ad
Ordnungsrichti	Ordnungsricht	0		H	sg g
keldrede	kelder		de		
Kohtumeiste	Kohtumeiste	0		H	sg n
saarest	saarest	st		H	sg n
Kristjan	Kristu	0		H	sg g
Lepsoni	Lepson	0		H	sg g
Parni	Parni	0		H	sg n
Hamkov	Hamkov	0		H	sg n
Semma	Semma	0		H	sg n
Zernandile	Zernand	le		H	sg all
tütrigu	tüdruk	0		S	
Hendrik	Hendrik	0		H	sg n
Mihkel	Mihkel	0		H	sg n
Pannov	Pannov	0		H	sg n
Otsman	Otsman	0		H	sg n
tõine	teine	0		P	sg n
Oinbergi	Oinberg	0		H	sg g
Tannu	Tannu	0		H	sg n
Verioralt	Verioralt	lt		H	sg n
Simmulandi	Simmulad	0		H	sg g
Annel	Annel	l		H	sg n
Paapule	Paapule	0		H	sg n
ja	ja	0		H	sg n
Madve	Madve	0		H	sg n
Meenbek	Meenbek	0		H	sg n
Parmakut	Parmak	t		H	sg p
Tartu	Tartu	0		H	sg n
Straus	Straus	0		H	sg n
Kherthal	Kherthal	0		H	sg n
Kristuviga	Kristov	ga		H	sg kom
Narusk	Narusk	0		H	sg n
Lepisk	Lepisk	0		H	sg n
Leppiski	Leppisk	0		H	sg g
Vähja	Vähja	0		H	sg n
Veerksu	Veerksu	0		H	sg n
Kristuv	Kristuv	0		H	sg n
suurmit	suurm	it		S	pl p
Parmov	Parmov	0		H	sg n
Vallavannemb	Vallavannemb	0		H	sg n
Pahhaoja	Pahha	0		H	sg g
Andressonile	Andresson	le		H	sg all
Karpson	Karpson	0		H	sg n
Kübarale	Kübarale	0		H	sg n
Ladz	Ladz	0		H	sg n
Jagolev	Jagolev	0		H	sg n
Vaarale	Vaarale	0		H	sg n
masnu	maks	nu		V	nud
Viidule	Viidu	le		H	sg all
Kangru	Kangru	0		H	sg n
tütruku	tüdruk	0		S	sg g
Nasta	Nasta	0		H	sg n
Mändikese	Mändikese	0		H	sg n
Kübar	Kübar	0		H	sg n
Rämman	Rämman	0		H	sg n
Zuburna	Zuburna	0		H	sg n
Leppindi	Leppind	0		H	sg g
Hänmani	Hänmani	0		H	sg n
Kristov	Kristov	0		H	sg n
Kristuving	Kristu	0		H	sg g
Vassila	Vassila	0		H	sg n
Mikk	Mikk	0		H	sg n
Fritz	Fritz	0		H	sg n
Härmanile	Härman	le		H	sg all
Krigoland	Krigoland	0		H	sg n
Sikkasaar	Sikkasaar	0		H	sg n
Simmulman	Simmulman	0		H	sg n
majast	majast	st		H	sg n
Johanil	Johan	l		H	sg ad
Krooni	Krooni	0		H	sg n
Reppastmäe	Reppastmäe	0		H	sg n
Johhurgavitz	Johhurgavitz	0		H	sg n
Ello	Ello	0		H	sg n
tütrikile	tüdruk	ile		S	pl all
Vassilal	Vassil	l		H	sg ad
Jõksi	Jõksi	0		H	sg n
Madvi	Madvi	0		H	sg n
Gusta	Gusta	0		H	sg n
Paapu	Paapu	0		H	sg n
Kartman	Kartman	0		H	sg n
Hüllimson	Hüllimson	0		H	sg n
Timmusk	Timmusk	0		H	sg n
Norman	Norman	0		H	sg n
Parri	Parri	0		H	sg n
Parrindi	Parrindi	0		H	sg n
Kondsa	Kondsa	0		H	sg n
Johurga	Johurga	0		H	sg n
Hillip	Hillip	0		H	sg n
Leppikon	Leppikon	0		H	sg n
Leppiko	Leppiko	0		H	sg n
Johhurgavitsa	Johhurgavitz	0		H	sg g
Krissa	Krissa	0		H	sg n
velle	veli	0		S	sg g
Vaaks	Vaaks	0		H	sg n
Kissand	Kissand	0		H	sg n
Semssaaren	Semssaaren	0		H	sg n
Vähjale	Vähjale	0		H	sg n
Tarnovi	Tarnovi	0		H	sg n
Vaaksile	Vaaks	le		H	sg all
Rasina	Rasina	0		H	sg n
Valdnerile	Valdner	le		H	sg all
Jüri	Jüri	0		H	sg n
Farnov	Farnov	0		H	sg n
Känksepa	Känksepa	0		H	sg n
Oinberg	Oinberg	0		H	sg n
Pognitsa	Pognitsa	0		H	sg n
Oblikationen	Oblikationen	0		H	sg n
Hants	Hants	0		H	sg n
Tunistaja	Tunistaja	0		H	sg n
Leenu	Leenu	0		H	sg n
Leplandile	Lepland	le		H	sg all
Michel	Michel	0		H	sg n
sis	siis	0		D	
Kodava	Kodava	0		H	sg n
Võrole	Võrole	0		H	sg n
Rosneck	Rosneck	0		H	sg n
Ritskman	Ritskman	0		H	sg n
Paap	Paap	0		H	sg n
Peetrit	Peetre	t		H	sg p
Kisse	Kisse	0		H	sg n
Ilm	Ilm	0		H	sg n
Kirmsi	Kirmsi	0		H	sg n
nema	tema	0		P	pl n
Kirrilov	Kirrilov	0		H	sg n
Isak	Isak	0		H	sg n
Lepson	Lepson	0		H	sg n
Berg	Berg	0		H	sg n
õdago	õdak	0		S	sg g
kudanu	kudu	nu		V	nud
kambren	kamber	n		S	sg in
Parman	Parman	0		H	sg n
Kihäid	Kihäid	d		H	sg n
Ülke	Ülke	0		H	sg n
Hanne	Hanne	0		H	sg n
tullu	tule	nu		V	nud
Parmaksoni	Parmaksoni	0		H	sg n
Gottlieb	Gottlieb	0		H	sg n
Tihhanovi	Tihhanov	0		H	sg g
Madvei	Madvei	0		H	sg n
Hendrike	Hendrik	0		H	sg g
Reinu	Reinu	0		H	sg n
Gotlib	Gotlib	0		H	sg n
Mältoni	Mälton	0		H	sg g
Peepule	Peep	le		H	sg all
Lota	Lota	0		H	sg n
Andre	Andre	0		H	sg n
E.	E.	0		Y	sg n
Lepmani	Lepman	0		H	sg g
Hindov	Hindov	0		H	sg n
Puksandi	Puksandi	0		H	sg n
Abram	Abram	0		H	sg n
Joosepi	Joosepi	0		H	sg n
