text	root	ending	clitic	partofspeech	form
hengevili	hinge_vili	0		S	sg n
Ala	Ala	0		H	sg n
Aintz	Aintz	0		H	sg n
Nurm	Nurm	0		H	sg n
Lubi	Lubi	0		H	sg n
Rihm	Rihm	0		H	sg n
P.	P.	0		Y	sg n
Ernst	Ernst	0		H	sg n
Pallosoni	Pallosoni	0		H	sg n
Richmi	Richmi	0		H	sg n
G.	G.	0		Y	sg n
Kähri	Kähri	0		H	sg n
Joosu	Joosu	0		H	sg n
Savisaarega	Savisaar	ga		H	sg kom
Kaarelil	Kaarelil	l		H	sg n
Rohkus	Rohkus	0		H	sg n
Veiken	Veiken	0		H	sg n
Mai	Mai	0		H	sg n
meelitand	meelita	nud		V	nud
meelitand	meelita=nu	d		S	pl n
meelitand	meelita=nud	0		A	
meelitand	meelita=nud	0		A	sg n
meelitand	meelita=nud	d		A	pl n
Karel	Karel	0		H	sg n
Hatike	Hatike	0		H	sg n
Puistaja	Puistaja	0		H	sg n
vasto	vastu	0		D	
vasto	vastu	0		K	
Koiola	Koiola	0		H	sg n
Piho	Piho	0		H	sg n
Carl	Carl	0		H	sg n
Värsi	Värs	0		H	sg g
Lepvalziga	Lepvalzi	ga		H	sg kom
Hindrek	Hindrek	0		H	sg n
Katre	Katre	0		H	sg n
Molohka	Molohka	0		H	sg n
Soukand	Soukand	0		H	sg n
Peeloval	Peelovas	l		H	sg ad
Künnapuu	Künnapuu	0		H	sg n
Roosel	Roose	l		H	sg ad
naene	naine	0		S	sg n
Matson	Matson	0		H	sg n
Pihol	Piho	l		H	sg ad
Laar	Laar	0		H	sg n
Matsoni	Matsoni	0		H	sg n
Poig	Poig	0		H	sg n
Kikas	Kikas	0		H	sg n
kadund	kadu	nud		V	nud
kadund	kadunu	d		S	pl n
kadund	kadunud	0		A	
kadund	kadunud	0		A	sg n
kadund	kadunud	d		A	pl n
Joro	Joro	0		H	sg n
Moloki	Molok	0		H	sg g
Hello	Hello	0		H	sg n
Liis	Liis	0		H	sg n
lubasivad	luba	sivad		V	sid
Peeter	Peeter	0		H	sg n
Kuhil	Kuhil	0		H	sg n
Liigandi	Liigand	0		H	sg g
Kääring	Kääring	0		H	sg n
proklaama	proklaama	0		S	sg g
Vana-Koiolas	Vana-Koiolas	0		H	sg n
vallas	vallas	s		H	sg n
Veebe	Veebe	0		H	sg n
A.	A.	0		Y	sg n
sellevasto	selle_vastu	0		D	
I	I	0		Y	sg n
Mati	Mati	0		H	sg n
Reichardt	Reichardt	0		H	sg n
Jaak	Jaak	0		H	sg n
Pika	Pika	0		H	sg n
Peetri	Peetri	0		H	sg n
lainatu	laena	tu		V	tud
Lukatzid	Lukatz	d		H	sg g
Kimask	Kimask	0		H	sg n
Ello	Ello	0		H	sg n
Vana-Prangli	Vana-Prangli	0		H	sg n
Lepvalzi	Lepvalzi	0		H	sg n
Tabrask	Tabrask	0		H	sg n
Laarile	Laar	le		H	sg all
Vank	Vank	0		H	sg n
K.	K.	0		Y	sg n
Aadam	Aadam	0		H	sg n
Lepvaltzil	Lepvaltz	l		H	sg ad
mahamurdund	maha_murdu=nu	d		S	pl n
mahamurdund	maha_murdu=nud	0		A	
