text	root	ending	clitic	partofspeech	form
Reinomäggile	Reinomäggi	le		H	sg all
Aleskei	Aleskei	0		H	sg n
Sergeijev	Sergeijev	0		H	sg n
orrased	oras	d		S	pl n
küinlaid	küünal	id		S	pl p
Kreosse	Kreosse	0		H	sg n
Ustinja	Ustinja	0		H	sg n
G.	G.	0		Y	sg n
Sergejev	Sergejev	0		H	sg n
Jänes	Jänes	0		H	sg n
Keiserlik	Keiserlik	0		H	sg n
Prasnova	Praskova	0		H	sg n
Tanadovile	Tanadovile	0		H	sg n
Suitso	Suits	0		H	sg g
Plessangohv	Plessangohv	0		H	sg n
Karel	Karel	0		H	sg n
Petrovna	Petrovna	0		H	sg n
Juskale	Juska	le		H	sg all
Starikohvi	Starkohv	0		H	sg g
Protocolli	Protocolli	0		H	sg n
Gluhkavitsi	Gluhkavits	0		H	sg g
riet	riie	t		S	sg p
Pallavallast	Palla	t		H	sg p
Kadrina	Kadrina	0		H	sg n
õhvakenne	õhva=kene	0		S	sg n
suggulased	sugulane	d		S	pl n
Leonti	Leonti	0		H	sg n
Sattik	Sattik	0		H	sg n
ristatega	riist	tega		S	pl kom
Turki	Turki	0		H	sg n
tunnismehhed	tunnis_mees	d		S	pl n
eringeid	heeringas	id		S	pl p
Sotski	Sotski	0	ki	H	sg n
kirjotanud	kirjuta	nud		V	
kohhus	kohus	0		S	sg n
Messangohvile	Messangohv	le		H	sg all
pullikenne	pulli=kene	0		S	sg n
Vassilij	Vassilij	0		H	sg n
prottokoli	protokoll	0		S	sg g
Lästi	Läst	0		H	sg g
Pärsikivi	Pärsikivi	0		H	sg n
Lästil	Läst	l		H	sg ad
küssis	küsi	s		V	s
Anna	Anna	0		H	sg n
Obbone	hobune	0		S	sg n
Õhvakenne	õhva=kene	0		S	sg n
Peihvelt	Peihvelt	0		H	sg n
I	I	0		Y	sg n
Moistetud	mõist	tud		V	tud
Pullanile	Pullan	le		H	sg all
Lasti	Last	0		H	sg g
Ounapu	Ounap	0		H	sg g
ülles	üles	0		D	
Maksimov	Maksimov	0		H	sg n
Maritsega	Maritsega	ga		H	sg n
Värv	Värv	0		H	sg n
Reinomägi	Reinomägi	0		H	sg n
podist	pood	st		S	sg el
senniks	seniks	0		D	
ellama	ela	ma		V	ma
semet	seeme	t		S	sg p
annud	and	nud		V	nud
Last	Last	0		H	sg n
sapad	saabas	d		S	pl n
Kress	Kress	0		H	sg n
K.	K.	0		Y	sg n
kaub	kaup	0		S	sg n
olleks	ole	ks		V	ks
Palka	Palka	0		H	sg n
Sabosniko	Sabosnik	0		H	sg g
Jummal	Jummal	0		H	sg n
R	R	0		Y	sg n
emmis	emis	0		S	sg n
Tõnts	Tõnts	0		H	sg n
agga	aga	0		D	
Möldre	Möldre	0		H	sg n
Õue	Õue	0		H	sg n
Erlile	Erli	le		H	sg all
kohto	kohus	0		S	sg ill
Vilde	Vilde	0		H	sg n
ühhesolnud	ühes_ole	nud		V	nud
ellab	ela 	b		V	b
Mitrisanov	Mitrifanov	0		H	sg n
Viljus	Viljus	0		H	sg n
Kihhelkonna	Kihhelkonna	0		H	sg n
kis	kes	0		P	sg n
Värvole	Värv	le		H	sg all
leisik	leisikas	0		S	sg n
Johanes	Johanes	0		H	sg n
Müirsep	Müirsep	0		H	sg n
ärra	ära	0		D	
Piri	Piri	0		H	sg n
olli	ole	i		V	s
puhhast	puhas	t		A	sg p
vasto	vastu	0		D	
Beifeltile	Beifelt	le		H	sg all
Konnon	Konnon	0		H	sg n
peäle	peale	0		K	
Ermani	Erman	0		H	sg g
Varlamohv	Varlamohv	0		H	sg n
kahheksa	kaheksa	0		N	sg g
lubbavad	luba	vad		V	vat
kohtomees	kohtu_mees	0		S	sg n
rahhul	rahul	0		D	
Andrias	Andrias	0		H	sg n
äkket	äke	d		S	pl n
tedda	tema	da		P	sg p
venne	vene	0		S	sg g
Kõrv	Kõrv	0		H	sg n
Õunap	Õunap	0		H	sg n
Starikovi	Starikov	0		H	sg g
Passi	Passi	0		H	sg n
Varunile	Varun	le		H	sg all
külvetud	külva	tud		V	tud
kelas	keela	s		V	s
Turkile	Turk	le		H	sg all
kervest	kirves	t		S	sg p
Adres	Adres	0		H	sg n
Plessankohv	Plessankohv	0		H	sg n
Beihvelt	Beihvelt	0		H	sg n
jurde	juurde	0		D	
naese	naine	0		S	sg g
Tõnis	Tõnis	0		H	sg n
Peakohtomees	pea_kohtu_mees	0		S	sg n
lubbati	luba	ti		V	ti
Saar	Saar	0		H	sg n
Naesele	Naesele	le		H	sg n
Pärsikivvile	Pärsikivvi	le		H	sg all
lubbatud	luba	tud		V	tud
Vassili	Vassili	0		H	sg n
Vallitsus	Vallitsus	0		H	sg n
Gusmin	Gusmin	0		H	sg n
Starrikohvi	Starrikohvi	0		H	sg n
Ullani	Ullani	ni		H	sg n
Laventi	Laventi	0		H	sg n
Sula	Sula	0		H	sg n
Sergejevile	Sergejev	le		H	sg all
valla	valla	0		H	sg n
Starikov	Starikov	0		H	sg n
Tihavnova	Tihanovna	0		H	sg n
sola	sool	0		S	sg p
püt	pütt	0		S	sg n
V.	V.	0		Y	sg n
kübbar	kübar	0		S	sg n
Hallikale	Hallik	le		H	sg all
Tihanovna	Tihanovna	0		H	sg n
Muscharev	Muscharev	0		H	sg n
tõssised	tõsine	d		A	pl n
Sai	Sai	i		H	sg n
Saborniko	Sabosnik	0		H	sg g
Viljuset	Viljus	t		H	sg p
Polakesse	Polakesse	sse		H	sg n
rahha	raha	0		S	sg p
Lät	Lät	0		H	sg n
Mironovi	Mironov	0		H	sg g
Sahkarohv	Sahkaohv	0		H	sg g
ühhed	üks	d		P	pl n
Läst	Läst	0		H	sg n
jaggo	jagu	0		S	sg n
Plesangohvile	Plessankohv	le		H	sg all
Treivaldt	Treivaldt	0		H	sg n
tohhi	tohti	0		V	o
Villik	Villik	0		H	sg n
Mitrifanov	Mitrifanov	0		H	sg n
nugga	nuga	0		S	 sg n
Juska	Juska	0		H	sg n
Hallikule	Hallik	le		H	sg all
Kreusse	Kreus	sse		H	sg ill
Piriga	Piriga	ga		H	sg n
Muscharov	Muscharev	0		H	sg n
Suitsole	Suits	le		H	sg all
Paul	Paul	0		H	sg n
Sidarohvi	Sidarohv	0		H	sg g
Öunap	Öunap	0		H	sg n
Messangohv	Messangohv	0		H	sg n
Kustav	Kustav	0		H	sg n
Vasili	Vasili	0		H	sg n
Pung	Pung	0		H	sg n
Jännes	Jännes	0		H	sg n
tese	teine	0		P	sg g
Andrialle	Andrias	le		H	sg all
harritud	hari	tud		V	tud
nalea	nael	0		S	sg p
Hans	Hans	0		H	sg n
Pärsikivvi	Pärsikivi	0		H	sg g
Muscharovi	Muscharev	0		H	sg g
Darja	Darja	0		H	sg n
värt	väärt	0		A	
Jelingin	Jelingin	0		H	sg n
ni	nii	0		D	
Praskova	Praskova	0		H	sg n
tullevad	tule	vad		V	vad
Konon	Konon	0		H	sg n
Praskovja	Praskovja	0		H	sg n
Ivan	Ivan	0		H	sg n
Mihkaila	Mihkaila	0		H	sg n
jäb	jää	b		V	b
Kili	Kili	0		H	sg n
Jakob	Jakob	0		H	sg n
jures	juures	0		K	
holinud	hooli	nud		V	nud
tulleks	tule	ks		V	ks
Gluchov	Gluchov	0		H	sg n
järrele	järele	0		K	
Mikalajevi	Mikalajev	0		H	sg g
Värvi	Värv	0		H	sg g
Maksimovil	Maksimov	l		H	sg ad
niti	niit	0		S	sg p
Vominiski	Vominiski	0		H	sg n
Irinja	Irinja	0		H	sg n
sedda	see	da		P	sg p
ollematta	ole	matta		V	mata
mehhe	mees	0		S	sg g
Siederov	Siederov	0		H	sg n
nahkkindat	nahk_kinnas	t		S	pl n
Ärnits	Ärnits	0		H	sg n
Konnoska	Konnon	0		H	sg g
Lättile	Lättile	0		H	sg n
Konnuska	Konnuska	0		H	sg n
Matsvei	Matsvei	0		H	sg n
Konoska	Konon	0		H	sg g
Rubl	Rubl	0		H	sg n
Mironov	Mironov	0		H	sg n
kunni	kuni	0		J	
Mihgaila	Mihgaila	0		H	sg n
Jakop	Jakop	0		H	sg n
Reinomagi	Reinomagi	0		H	sg n
Oidinkale	Oidinkale	0		H	sg n
süggise	sügis	0		S	sg g
Summa	Summa	0		H	sg n
Pauluska	Pauluska	0		H	sg n
lubbadut	luba	dut		V	tud
hõb	hõb	0		Y	?
Sidarohv	Sidarohv	0		H	sg n
Jannase	Jannas	0		H	sg g
Ounap	Ounap	0		H	sg n
R.	R.	0		Y	sg n
Kurrat	Kurrat	0		H	sg n
Kallaste	Kallaste	0		H	sg n
Suits	Suits	0		H	sg n
astad	aasta	d		S	sg p
jänud	jää	nud		V	nud
lubbanud	luba	nud		V	nud
Punder	Punder	0		H	sg n
Irinjaga	Irinja	ga		H	sg kom
Kadri	Kadri	0		H	sg n
eringed	heeringas	d		S	sg p
Krigori	Krigori	0		H	sg n
Jannas	Jannas	0		H	sg n
Rbl	Rbl	0		Y	?
Beifelt	Beifelt	0		H	sg n
Mikalajev	Mikalajev	0		H	sg n
keige	kõik	0		P	sg g
keelmisest	keelamine	st		S	sg el
Karro	Karro	0		H	sg n
Tihvanovna	Tihvanovna	0		H	sg n
Ilves	Ilves	0		H	sg n
Gustav	Gustav	0		H	sg n
Kullile	Kulli	le		H	sg all
Kuil	Kuil	0		H	sg n
Kusikule	Kusikule	0		H	sg n
Erli	Erli	0		H	sg n
hobbose	hobune	0		S	sg g
Nuggin	Nuggin	0		H	sg n
jahho	jahu	0		S	sg p
Juannova	Juannova	0		H	sg n
Ilvese	Ilves	0		H	sg g
Viljusele	Viljus	le		H	sg all
Mart	Mart	0		H	sg n
Kiili	Kiili	0		H	sg n
Mihgailale	Mihgaila	le		H	sg all
tehha	tege	a		V	da
emma	ema	0		S	sg n
Varun	Varun	0		H	sg n
Hallika	Hallik	0		H	sg g
Petra	Petra	0		H	sg n
mollemattele	mõlema	tele		P	pl all
Sabosnik	Sabosnik	0		H	sg n
võlgo	võlg	0		S	sg ill
Krigorile	Krigori	le		H	sg all
Makar	Makar	0		H	sg n
võrgo	võrk	0		S	sg g
Lastile	Lastile	0		H	sg n
Starkohv	Starkohv	0		H	sg n
Sarega	Sare	ga		H	sg kom
Trihvanovi	Trihvanovi	0		H	sg n
sigga	siga	0		S	sg n
aaste	aastane	0		A	sg n
selletama	seleta	ma		V	ma
Sergeijevi	Sergeijev	0		H	sg g
Sahkarohvi	Sahkaohv	0		H	sg g
Maggasist	Maggasist	st		H	sg n
Marri	Marri	0		H	sg n
Maksima	Maksima	0		H	sg n
kohhe	kohe	0		D	
Toma	Toma	0		H	sg n
Kallastele	Kallaste	le		H	sg all
Läppiste	Läppiste	0		H	sg n
Mikiska	Mikiska	0		H	sg n
poled	pool	d		N	pl n
sistsi	sits	0		S	sg g
märet	määre	t		S	sg p
sapaid	saabas	id		S	pl p
Jospe	Jospe	0		H	sg n
Starikohv	Starkohv	0		H	sg g
Rehnungi	Rehnungi	0		H	sg n
Palla	Palla	0		H	sg n
Mitrasanovi	Mitrifanov	0		H	sg g
Sedda	see	da		P	sg p
Levonti	Levonti	0		H	sg n
koggokonna	kogukond	0		S	sg g
Jermuska	Jermuska	0		H	sg n
elli	õli	0		S	sg p
Jaska	Jaska	0		H	sg n
Oidin	Oidin	0		H	sg n
KOnnuska	KOnnuska	0		H	sg n
noudis	nõud	is		V	s
Prottokolli	Prottokolli	0		H	sg n
temmal	tema	l		P	sg ad
M.	M.	0		Y	sg n
vahhetus	vahetus	0		S	sg n
Erliga	Erli	ga		H	sg kom
Mihkel	Mihkel	0		H	sg n
Mussarohv	Mussarohv	0		H	sg n
omma	oma	0		P	sg g
Gluhkavits	Gluhkavits	0		H	sg n
Gluchovi	Gluchov	0		H	sg g
Juhannes	Juhannes	0		H	sg n
Sahgarohv	Sahgarohv	0		H	sg n
Allatskivilt	Allatskivilt	lt		H	sg n
temmale	tema	le		P	sg all
Maksimovi	Maksimov	0		H	sg g
Plessangohvi	Plesangohv	0		H	sg g
Davit	Davit	0		H	sg n
Punga	Pung	ga		H	sg kom
siggarid	sigar	d		S	pl n
varranduse	varandus	0		S	sg g
Kassepa	Kassepa	0		H	sg n
Tedor	Tedor	0		H	sg n
Raja	Raja	0		H	sg n
põllo	põld	0		S	sg g
Sare	Sare	0		H	sg n
Erman	Erman	0		H	sg n
Nendasammoti	Nendasammoti	0		H	sg n
Josepi	Josepi	0		H	sg n
Jaan	Jaan	0		H	sg n
pallus	palu	s		V	s
suvvi	suvi	0		S	sg n
vak	vakk	0		S	sg n
räimet	räim	t		S	sg p
klasi	klaas	0		S	sg p
olle	ole	0		V	o
Pedrovna	Pedrovna	0		H	sg n
Josep	Josep	0		H	sg n
Aron	Aron	0		H	sg n
tonud	too	nud		V	nud
Märt	Märt	0		H	sg n
Lena	Lena	0		H	sg n
Sahkaohv	Sahkaohv	0		H	sg n
Reinomäggi	Reinomägi	0		H	sg g
perranduse	pärandus	0		S	sg g
Gluchovile	Gluchov	le		H	sg all
päiva	päev	0		S	sg g
kassuk	kasukas	0		S	sg n
naddali	nädal	0		S	sg g
Viljusse	Viljus	sse		H	sg ill
assade	asi	de		S	pl g
Skaratumov	Skaratumov	0		H	sg n
pärrib	päri	b		V	b
loberri	loorber	0		S	sg p
Siederovi	Siederov	0		H	sg g
mahha	maha	0		D	
Mihksi	Mihksi	0		H	sg n
Maksimohv	Maksimohv	0		H	sg n
Vussakust	Vussakust	st		H	sg n
Kulli	Kulli	0		H	sg n
kp	kp	0		Y	?
Viljussel	Viljus	l		H	sg ad
Sohvi	Sohvi	0		H	sg n
Nöbid	nööp	d		S	pl n
Tuvk	Tuvk	0		H	sg n
T.R.S.R	T.R.S.R	0		Y	?
päva	päev	0		S	sg g
mud	muu	d		P	sg p
Karli	Karli	0		H	sg n
makssa	maks	a		V	da
jaggaminne	jagamine	0		S	sg n
Timmuska	Timmuska	0		H	sg n
Värvo	Värv	0		H	sg g
sanud	saa	nud		V	nud
kartolid	kartul	d		S	pl n
protoolli	protokoll	0		S	sg g
Beihveltile	Beihvelt	le		H	sg all
Gusta	Gusta	0		H	sg n
reggi	regi	0		S	sg n
Pussi	Pussi	0		H	sg n
Mitrifanovi	Mitrifanov	0		H	sg g
Vända	Vända	0		H	sg n
Plesangohv	Plesangohv	0		H	sg n
Ivanovna	Ivanova	0		H	sg g
Plessangov	Plesangohv	0		H	sg n
Pullan	Pullan	0		H	sg n
kulnud	kuul	nud		V	nud
Kul	Kul	0		H	sg n
Konan	Konan	0		H	sg n
peaäle	peale	0		K	
Eassilij	Eassilij	0		H	sg n
säred	säär	d		S	 pl n
Tuhta	Tuhta	0		H	sg n
kaibas	kaeba	s		V	s
sarri	sari	0		S	sg n
Villem	Villem	0		H	sg n
Vänn	Vänn	0		H	sg n
temma	tema	0		P	sg g
Tomas	Tomas	0		H	sg n
Körn	Körn	0		H	sg n
Taradov	Taradov	0		H	sg n
Markus	Markus	0		H	sg n
ommad	oma	d		P	pl n
Mitrifanofil	Mitrifanov	l		H	sg ad
J.	J.	0		Y	sg n
Ladoka	Ladoka	0		H	sg n
se	see	0		P	sg n
rükkid	rukis	d		S	sg p
Polakessele	Polakesse	le		H	sg all
Jürri	Jürri	0		H	sg n
Nukka	Nukka	0		H	sg n
Kokora	Kokora	0		H	sg n
ollevad	ole	vad		V	vat
pärrast	pärast	0		K	
keik	kõik	0		P	sg n
Maddis	Maddis	0		H	sg n
Galafei	Galafei	0		H	sg n
perrast	pärast	0		K	
Andres	Andres	0		H	sg n
Vantka	Vantka	0		H	sg n
Madis	Madis	0		H	sg n
kahhe	kaks	0		N	sg g
jo	juba	0		D	
Turk	Turk	0		H	sg n
Johan	Johan	0		H	sg n
arsin	arssin	0		S	sg n
Polakse	Polakse	0		H	sg n
perremehhe	pere_mees	0		S	sg g
Nuggise	Nuggin	0		H	sg g
Ivanova	Ivanova	0		H	sg n
Narits	Narits	0		H	sg n
Beifeldile	Beifelt	le		H	sg all
Kreus	Kreus	0		H	sg n
piddune	pidune	0		A	sg n
Kussarohv	Kussarohv	0		H	sg n
tubbakud	tubakas	d		S	sg p
Johannes	Johannes	0		H	sg n
Reinomäele	Reinomägi	le		H	sg all
Sidarohvile	Sidarohv	le		H	sg all
Maksimohvi	Maksimov	0		H	sg g
Mitri	Mitri	0		H	sg n
Mölder	Mölder	0		H	sg n
prottokol	protokoll	0		S	sg n
Makarille	Makar	le		H	sg all
Leisik	lusikas	0		S	sg n
Abram	Abram	0		H	sg n
Möldri	Mölder	0		H	sg n
met	mesi	tt		S	sg p
Jännesse	Jännes	sse		H	sg ill
Kurreniida	Kurreniida	0		H	sg n
Ait	Ait	0		H	sg n
Sergei	Sergei	0		H	sg n
Tihhedast	Tihhedast	st		H	sg n
Hallik	Hallik	0		H	sg n
Lotnik	Lotnik	0		H	sg n
Tiit	Tiit	0		H	sg n
Trihvanovna	Trihvanovi	0		H	sg g
Naritselle	Narits	le		H	sg all
naene	naine 	0		S	sg n
Uotinja	Uotinja	0		H	sg n
tubbak	tubakas	0		S	sg n
tikkud	tikk	d		S	pl n
