text	root	ending	clitic	partofspeech	form
Väljaotsa	Väljaots	0		H	sg g
Heino	Heino	0		H	sg n
Lööper	Lööper	0		H	sg n
Vuks	Vuks	0		H	sg n
Piir	Piir	0		H	sg n
karjamaale	karjamaale	le		H	sg n
Laiva	Laiva	0		H	sg n
Priksil	Priks	l		H	sg ad
Rähnile	Rähnile	0		H	sg n
Möldre	Möldre	0		H	sg n
karganud	karga	nud		V	nud
Pruul	Pruul	0		H	sg n
Karel	Karel	0		H	sg n
Truusist	Truus	t		H	sg p
Pöltsamalt	Pöltsamalt	lt		H	sg n
Brigu	Brigu	0		H	sg n
Linno	Linno	0		H	sg n
Laursoniga	Laurson	ga		H	sg kom
Carl	Carl	0		H	sg n
Liivaku	Liivak	0		H	sg g
Kaasiku	Kaasiku	0		H	sg n
Laursoni	Laurson	0		H	sg g
Liivakul	Liivak	l		H	sg ad
Laursonil	Laurson	l		H	sg ad
Kukkel	Kukk	l		H	sg ad
selkombel	sel_kombel	0		D	
Pirni	Pirni	0		H	sg n
Korknopeli	Korknopel	0		H	sg g
Kiltre	Kiltre	0		H	sg n
Kablits	Kablits	0		H	sg n
Kablitsest	Kablits	t		H	sg p
Brin	Brin	0		H	sg n
Richard	Richard	0		H	sg n
Peeter	Peeter	0		H	sg n
Lübiki	Lübiki	0		H	sg n
Valla	Valla	0		H	sg n
vallas	vallas	s		H	sg n
Antonile	Antonile	le		H	sg n
al	al	0		Y	?
Martinseni	Martinseni	0		H	sg n
Lomp	Lomp	0		H	sg n
Vilhelm	Vilhelm	0		H	sg n
Surva	Surva	0		H	sg n
Pirusi	Pirusi	0		H	sg n
Käreverest	Käreverest	st		H	sg n
Soomel	Soome	l		H	sg ad
Breeksil	Breeks	l		H	sg ad
Väljaotsale	Väljaots	le		H	sg all
Breeksi	Breeks	0		H	sg g
linnast	linnast	st		H	sg n
Rosenthali	Rosenthali	0		H	sg n
Kop	Kop	0		H	sg n
Nönda	Nönda	0		H	sg n
Ilusil	Ilus	l		H	sg ad
peäse	pääse	0		V	o
pois-Karl	pois-Karl	0		H	sg n
Väljaots	Väljaots	0		H	sg n
Lääperile	Lääperile	0		H	sg n
Cristjan	Cristjan	0		H	sg n
K.	K.	0		Y	sg n
Jossep	Jossep	0		H	sg n
Staupi	Staup	0		H	sg g
Pruulit	Pruul	t		H	sg p
töuganud	tõuka	nud		V	nud
Saarfeltd	Saarfeltd	0		H	sg n
auu	au	0		S	sg g
Karl	Karl	0		H	sg n
Kärevere	Kärevere	0		H	sg n
tömmanud	tõmba	nud		V	nud
Reimanni	Reimanni	0		H	sg n
peäl	peal	0		K	
Kajob	Kajob	0		H	sg n
Priks	Priks	0		H	sg n
Reimanil	Reiman	l		H	sg ad
An	An	0		Y	sg n
A.	A.	0		Y	sg n
Juri	Juri	0		H	sg n
Joostile	Joost	le		H	sg all
Punderit	Punder	t		H	sg p
Triino	Triino	0		H	sg n
Joosti	Joost	0		H	sg g
Arandi	Arand	0		H	sg g
Reimannil	Reiman	l		H	sg ad
Se	Se	0		Y	sg n
Birkiga	Birk	ga		H	sg kom
Reimanile	Reimanni	le		H	sg all
tagast	tagant	0		D	
Umblia	Umblia	0		H	sg n
vasto	vastu	0		D	
Puhaga	Puha	ga		H	sg kom
Ilu	Ilu	0		H	sg n
peäle	peale	0		K	
Ivaskil	Ivaskil	l		H	sg n
Breigo	Breigo	0		H	sg n
näitada	näita	da		V	da
Sae	Sae	0		H	sg n
Oktobril	Oktobril	l		H	sg n
nöudis	nõud	is		V	s
Adam	Adam	0		H	sg n
Priksiga	Priks	ga		H	sg kom
Veedler	Veedler	0		H	sg n
Pagi	Pagi	0		H	sg n
Kiipsaar	Kiipsaar	0		H	sg n
Härman	Härman	0		H	sg n
Kahluga	Kahl	ga		H	sg kom
Langel	Lange	l		H	sg ad
Juhhan	Juhhan	0		H	sg n
J.	J.	0		Y	sg n
Mari	Mari	0		H	sg n
Kuuske	Kuusk	0		H	sg g
Vedeleri	Vedeleri	0		H	sg n
H.	H.	0		Y	sg n
Liivakuga	Liivak	ga		H	sg kom
Ann	Ann	0		H	sg n
Constantin	Constantin	0		H	sg n
Brett	Brett	0		H	sg n
Puhal	Puha	l		H	sg ad
II-ne	II-ne	0		Y	sg n
Ado	Ado	0		H	sg n
Breeks	Breeks	0		H	sg n
külas	külas	s		H	sg n
Äint	Äint	0		H	sg n
Puurmani	Puurmani	0		H	sg n
Kooliga	Kool	ga		H	sg kom
Änti	Änti	0		H	sg n
Saar	Saar	0		H	sg n
Jonni	Jonni	0		H	sg n
Truusa	Truus	0		H	sg g
Pruulil	Pruul	l		H	sg ad
nüuid	nüüd	0		D	
Brio	Brio	0		H	sg n
Jürile	Jürile	le		H	sg n
Aleksander	Aleksander	0		H	sg n
Pägi	Pägi	0		H	sg n
Brigol	Brigo	l		H	sg ad
Lööperil	Lööper	l		H	sg ad
Truusi	Truus	0		H	sg g
Eglon	Eglon	0		H	sg n
herra	härra	0		S	sg g
Arandid	Arand	d		H	sg g
Lööperi	Lööper	0		H	sg g
Äintil	Äint	l		H	sg ad
Tüttar	Tüttar	0		H	sg n
Brigul	Brigo	l		H	sg ad
Kirstjan	Kirstjan	0		H	sg n
Matti	Matti	0		H	sg n
Peter	Peter	0		H	sg n
Arand	Arand	0		H	sg n
Mauerile	Mauer	le		H	sg all
Lübekil	Lübek	l		H	sg ad
Matsil	Matsil	l		H	sg n
Raud	Raud	0		H	sg n
Türna	Türna	0		H	sg n
Veen	Veen	0		H	sg n
Kahlul	Kahl	l		H	sg ad
Korknopel	Korknopel	0		H	sg n
Jomp	Jomp	0		H	sg n
Martisen	Martisen	0		H	sg n
jure	juurde	0		K	
Traus	Traus	0		H	sg n
Nüidne	Nüidne	0		H	sg n
Birkenbaumi	Birkenbaum	0		H	sg g
Kink	Kink	0		H	sg n
M.	M.	0		Y	sg n
Hirschil	Hirsch	l		H	sg ad
