text	root	ending	clitic	partofspeech	form
koral	kord	l		S	sg ad
pöldusid	põld	sid		S	pl p
kokko	kokku	0		D	
Tillinga	Tilling	ga		H	sg kom
sise	sisse	0		K	
kohus	kohus	0		H	sg n
naeseks	naine	ks		S	sg tr
Veiksid	väike	d		A	pl n
kroono	kroonu	0		S	sg g
kroono	kroonu	0		S	sg n
Arilase	Arilase	0		H	sg n
vasto	vastu	0		D	
Vilsarile	Vilsarile	0		H	sg n
jägatud	jaga	tud		V	tud
Tallina	Tallina	0		H	sg n
Pisko	Pisko	0		H	sg n
riieten	riie	ten		S	pl g
Viili	Viil	0		H	sg g
Alekseiga	Aleksei	ga		H	sg kom
töstma	tõst	ma		V	ma
Konstantin	Konstantin	0		H	sg n
Maasi	Maasi	0		H	sg n
Elisaveta	Elisaveta	0		H	sg n
Ravli	Ravli	0		H	sg n
Oriok	Oriok	0		H	sg n
Lembril	Lember	l		H	sg ad
Tumala	Tumala	0		H	sg n
Anna	Anna	0		H	sg n
lugo	lugu	0		S	sg n
lugo	lugu	0		S	sg p
öövli	höövel	0		S	sg g
Kärneril	Kärner	l		H	sg ad
I	I	0		Y	sg n
Konstantik	Konstantin	0		H	sg n
Veerloki	Veerloki	0		H	sg n
Toovli	Toovel	0		H	sg n
möisa	mõis	0		S	sg g
mise	mis	0		P	sg g
Soome	Soome	0		H	sg n
I.	I.	0		Y	sg n
Oler	Oler	0		H	sg n
öue	õu	0		S	adt
öue	õu	0		S	sg g
öue	õue	0		D	
öue	õu	0		S	sg p
Rautsini	Rautsin	0		H	sg g
Alleri	Alleri	0		H	sg n
vötavad	võt	vad		V	vad
Senerile	Seneri	le		H	sg all
Jaen	Jaen	0		H	sg n
toond	too	nud		V	nud
toond	too=nu	d		S	pl n
toond	too=nud	0		A	
toond	too=nud	0		A	sg n
toond	too=nud	d		A	pl n
möistis	mõist	is		V	s
Rätsepa	Rätsepa	0		H	sg n
Liisole	Liiso	le		H	sg all
Kask	Kask	0		H	sg n
Ekaterina	Ekaterina	0		H	sg n
pääval	päev	l		S	sg ad
Iesnohvil	Iesnohvil	l		H	sg n
Aleksei	Aleksei	0		H	sg n
saand	saa	nud		V	nud
saand	saa=nud	0		A	
saand	saa=nud	0		A	sg n
saand	saa=nud	d		A	pl n
saand	saanu	d		S	pl n
Jurnale	Jurnale	0		H	sg n
Tonnis	Tonnis	0		H	sg n
Kukel	Kuke	l		H	sg ad
Sinär	Sinär	0		H	sg n
Karel	Karel	0		H	sg n
teendri	teener	0		S	sg g
Juri	Juri	0		H	sg n
Viherpu	Vihelbu	0		H	sg n
nöud	nõu	d		S	pl n
karjatse	karjane	0		S	sg g
Lagile	Lagile	0		H	sg n
Zögeveri	Zögever	0		H	sg g
Körs	kõrs	0		S	sg n
Marja	Marja	0		H	sg n
Abosi	Abosi	0		H	sg n
külast	külast	st		H	sg n
kulo	kulu	0		S	sg g
vötvad	võttev	d		A	pl n
Ohman	Ohman	0		H	sg n
keskes	keskis	0		D	
Olerile	Oler	le		H	sg all
Everdi	Evert	0		H	sg g
peäle	peale	0		K	
Mast	Mast	0		H	sg n
kodo	kodu	0		S	sg g
kodo	kodu	0		S	sg n
kodo	kodu	0		S	sg p
Tonul	Tonu	l		H	sg ad
vaimo	vaim	0		S	adt
vaimo	vaim	0		S	sg g
vaimo	vaim	0		S	sg p
Kõrtsimardil	Kõrtsimardil	l		H	sg n
oele	õde	le		S	sg all
ütlenud	ütle	nud		V	nud
Mari	Mari	0		H	sg n
Tiiu	Tiiu	0		H	sg n
Tönise	Tõnis	0		H	sg g
Holmberg	Holmberg	0		H	sg n
Marid	Mari	d		H	sg g
keiserlikko	keiserlik	0		A	adt
keiserlikko	keiserlik	0		A	sg p
sönnik	sõnnik	0		S	sg n
rugi	rukis	0		S	sg g
Kirril	Kirril	0		H	sg n
külas	külas	s		H	sg n
Katri	Katri	0		H	sg n
Järmukt	Järmukt	0		H	sg n
Luks	Luks	0		H	sg n
Järve	Järve	0		H	sg n
Madalal	Madal	l		H	sg ad
Keiserliko	Keiserliko	0		H	sg n
Vassili	Vassili	0		H	sg n
Vesmani	Vesman	0		H	sg g
Aleksander	Aleksander	0		H	sg n
Andrus	Andrus	0		H	sg n
Lingiga	Ling	ga		H	sg kom
valla	valla	0		H	sg n
Vaskele	Vaske	le		H	sg all
tösi	tõsi	0		S	pl p
tösi	tõsi	0		S	sg n
roekad	roigas	d		S	pl n
Savetile	Saveti	le		H	sg all
naene	naine	0		S	sg n
Ahveneri	Ahvener	0		H	sg g
Maksimi	Maksim	0		H	sg g
Taavli	Taavli	0		H	sg n
Ling	Ling	0		H	sg n
Otto	Otto	0		H	sg n
Ansul	Ansu	l		H	sg ad
lüpsiko	lüpsik	0		S	sg g
valjast	väljast	0		D	
Liis	Liis	0		H	sg n
Raaveli	Raavel	0		H	sg g
törs	tõrs	0		S	sg n
Tilling	Tilling	0		H	sg n
Niitsiga	Niits	ga		H	sg kom
pöllud	põld	d		S	pl n
nenda	nõnda	0		D	
varastand	varasta	nud		V	nud
varastand	varasta=nu	d		S	pl n
varastand	varasta=nud	0		A	
varastand	varasta=nud	0		A	sg n
varastand	varasta=nud	d		A	pl n
kohto	kohus	0		S	sg g
Viilile	Viil	le		H	sg all
Lingile	Ling	le		H	sg all
Pahila	Pahila	0		H	sg n
iärele	järele	0		K	
vötnud	võt	nud		V	nud
Vasili	Vasili	0		H	sg n
völga	võlg	0		S	adt
völga	võlg	0		S	sg p
Ottu	Ottu	0		H	sg n
Kusta	Kusta	0		H	sg n
vöimalik	võimalik	0		A	sg n
Alveas	Alveas	0		H	sg n
vallast	vallast	st		H	sg n
Koht	Koht	0		H	sg n
Kötsa	Kötsa	0		H	sg n
Kärneri	Kärneri	0		H	sg n
ennam	enam	0		D	
Jaaniga	Jaani	ga		H	sg kom
Jakupiga	Jakup	ga		H	sg kom
nimetud	nimeta	tud		V	tud
Rahula	Rahula	0		H	sg n
Kuderid	Kuder	d		H	sg g
Seema	Seema	0		H	sg n
Kardi	Kardi	0		H	sg n
Andrei	Andrei	0		H	sg n
Thaliko	Thaliko	0		H	sg n
möistmisega	mõistmine	ga		S	sg kom
Annole	Annole	0		H	sg n
Jaani	Jaani	0		H	sg n
Suure	Suure	0		H	sg n
Anno	Anno	0		H	sg n
Juhan	Juhan	0		H	sg n
völgu	võlg	u		S	pl p
völgu	võlgu	0		D	
Lembrile	Lember	le		H	sg all
Orinömme	Orinömme	0		H	sg n
Vätting	Vätting	0		H	sg n
Paling	Paling	0		H	sg n
Ravel	Ravel	0		H	sg n
Prisk	Prisk	0		H	sg n
Paltsu	Paltsu	0		H	sg n
Valdo	Valdo	0		H	sg n
Meedrile	Meeder	le		H	sg all
mölemad	mõlema	d		P	pl n
Sure	Sure	0		H	sg n
röhunud	rõhu	nud		V	nud
röhunud	rõhu=nu	d		S	pl n
röhunud	rõhu=nud	0		A	
röhunud	rõhu=nud	0		A	sg n
röhunud	rõhu=nud	d		A	pl n
Vohma	Vohma	0		H	sg n
tasko	tasku	0		S	adt
tasko	tasku	0		S	sg g
tasko	tasku	0		S	sg n
öövel	höövel	0		S	sg n
köik	kõik	0		P	pl n
Alekseil	Aleksei	l		H	sg ad
körvalist	kõrvaline	t		A	sg p
parida	päri	da		V	da
vändi	vänt	0		S	sg g
Maksimile	Maksim	le		H	sg all
Maria	Maria	0		H	sg n
möisas	mõis	s		S	sg in
sugo	sugu	0		A	
sugo	sugu	0		D	
sugo	sugu	0		S	sg n
sugo	sugu	0		S	sg p
öigel	õige	l		A	sg ad
vötma	võt	ma		V	ma
möistnud	mõist	nud		V	nud
möistnud	mõist=nu	d		S	pl n
möistnud	mõist=nud	0		A	
möistnud	mõist=nud	0		A	sg n
möistnud	mõist=nud	d		A	pl n
Leisi	Leisi	0		H	sg n
Mägi	Mägi	0		H	sg n
Muhu	Muhu	0		H	sg n
Antrus	Antrus	0		H	sg n
vanger	vanker	0		S	sg n
Elena	Elena	0		H	sg n
nöu	nõu	0		S	sg g
nöu	nõu	0		S	sg n
nöu	nõu	0		S	sg p
Vingli	Vingli	0		H	sg n
vöinud	või	nud		V	nud
protokoli	protokoll	0		S	sg ill
Temlari	Temlar	0		H	sg g
alustand	alusta	nud		V	nud
alustand	alusta=nu	d		S	pl n
alustand	alusta=nud	0		A	
alustand	alusta=nud	0		A	sg n
alustand	alusta=nud	d		A	pl n
Peetril	Peeter	l		H	sg ad
Kesküla	Kesküla	0		H	sg n
pölves	põlv	s		S	sg in
pölves	põli	s		S	sg in
Köik	Köik	0		H	sg n
Peetri	Peeter	0		H	sg n
allamal	alamal	0		D	
Karner	Karner	0		H	sg n
talo	talu	0		S	sg g
talo	talu	0		V	o
talo	talu	0		S	sg n
talo	talu	0		S	sg p
jöud	jõud	0		S	sg n
jöud	jõud	d		S	pl n
Tihaliku	Tihaliku	0		H	sg n
Sinerri	Siner	0		H	sg g
Gargi	Gargi	0		H	sg n
Völglaste	võlglane	te		S	pl g
Kohto	kohtu	0		V	o
Kohto	kohus	0		S	sg g
Vakaus	Vakaus	0		H	sg n
Ranna	Ranna	0		H	sg n
vöivad	või	vad		V	vad
Prontsese	Prontses	0		H	sg g
Kuder	Kuder	0		H	sg n
Mihkeljan	Mihkeljan	0		H	sg n
Vakausi	Vakaus	0		H	sg g
Toovel	Toovel	0		H	sg n
raho	rahu	0		S	sg g
raho	rahu	0		S	sg n
raho	rahu	0		S	sg p
Mihkel	Mihkel	0		H	sg n
köige	kõige	0		D	
prester	preester	0		S	sg n
Liiso	Liiso	0		H	sg n
praegus	praegu	0		D	
körvad	kõrv	d		S	pl n
Mardi	Mardi	0		H	sg n
Villem	Villem	0		H	sg n
Kustu	Kustu	0		H	sg n
Evert	Evert	0		H	sg n
viind	vii	nud		V	nud
viind	vii=nu	d		S	pl n
viind	vii=nud	0		A	
viind	vii=nud	0		A	sg n
viind	vii=nud	d		A	pl n
Anu	Anu	0		H	sg n
Mastil	Mast	l		H	sg ad
Vaske	Vaske	0		H	sg n
Pääva	Pääva	0		H	sg n
kölba	kõlba	0		V	o
Leidas	Leidas	s		H	sg n
löime	loo	ime		V	sime
löime	lõim	0		S	adt
löime	lõim	0		S	sg g
löime	löö	ime		V	sime
löime	lõim	0		S	sg p
Tonis	Tonis	0		H	sg n
ode	õde	0		S	sg n
opetaja	õpetaja	0		S	sg n
Lehmusest	Lehmus	t		H	sg p
Oleril	Oler	l		H	sg ad
Vättinga	Vättinga	0		H	sg n
Andrusse	Andrei	sse		H	sg ill
Orisaares	Orisaares	s		H	sg n
Madal	Madal	0		H	sg n
Juhani	Juhani	0		H	sg n
kirjkus	kirik	s		S	sg in
Pollu	Pollu	0		H	sg n
Tiitma	Tiitma	0		H	sg n
Georgi	Georgi	0		H	sg n
Paltso	Paltsu	0		H	sg n
Pirko	Pirko	0		H	sg n
Thuliko	Thuliko	0		H	sg n
Melonja	Melonja	0		H	sg n
Karli	Karli	0		H	sg n
tösine	tõsine	0		A	sg n
tösine	tõsine	0		V	o
jägada	jaga	da		V	da
Tooma	Tooma	0		H	sg n
Munk	Munk	0		H	sg n
Jurkotamme	Jurkotam	0		H	sg g
Domainen	Domainen	0		H	sg n
Vesman	Vesman	0		H	sg n
Jako	Jako	0		H	sg n
Kerner	Kerner	0		H	sg n
Maksim	Maksim	0		H	sg n
Vällise	Vällise	0		H	sg n
Valt	Valt	0		H	sg n
Antso	Ants	0		H	sg g
Tönis	Tönis	0		H	sg n
hommiko	hommik	0		S	sg g
Saavet	Saavet	0		H	sg n
Vinkli	Vinkli	0		H	sg n
Ants	Ants	0		H	sg n
