text	root	ending	clitic	partofspeech	form
Ronnimees	Ronnimees	0		H	sg n
Nugise	Nugise	0		H	sg n
Kivisillal	Kivisild	l		H	sg ad
niisuge	nii_sugune	0		P	sg n
Mikkul	Mikku	l		H	sg ad
Suurkuuse	Suurkuusk	0		H	sg n
Jänes	Jänes	0		H	sg n
kohus	kohus	0		H	sg n
mingisgust	mingi_sugune	t		P	sg p
Annale	Annale	le		H	sg n
pääval	päev	l		S	sg ad
Jaaksonile	Jaakson	le		H	sg all
Reimannil	Reimannil	l		H	sg n
vasto	vastu	0		D	
vasto	vastu	0		K	
Lohmannil	Lohmann	l		H	sg ad
Piho	Piho	0		H	sg n
Arjak	Arjak	0		H	sg n
Johnsile	Johns	le		H	sg all
Milli	Mill	0		H	sg g
Äniline	Äniline	0		H	sg n
Lelle	Lelle	0		H	sg n
näitis	näita	s		V	s
Freibergi	Freiberg	0		H	sg g
voib	või	b		V	b
Vildflusch	Vildflusch	0		H	sg n
Rantile	Rant	le		H	sg all
Toomas	Toomas	0		H	sg n
Nordini	Nordini	0		H	sg n
voida	või	da		V	da
Froschi	Frosch	0		H	sg g
Peeter	Peeter	0		H	sg n
Kuldkepp	Kuldkepp	0		H	sg n
Evarti	Evarti	0		H	sg n
Villemsil	Villems	l		H	sg ad
Valla	Valla	0		H	sg n
käiatel	käija	tel		S	pl ad
Bärson	Bärson	0		H	sg n
Anna	Anna	0		H	sg n
Lino	Lino	0		H	sg n
Ännilinne	Ännilise	0		H	sg g
Tallinamaalt	Tallinamaalt	lt		H	sg n
Jaak	Jaak	0		H	sg n
Dexling	Dexling	0		H	sg n
Tõnnissoni	Tõnnison	0		H	sg g
Schönbergile	Schönberg	le		H	sg all
Vanamois	Vanamois	0		H	sg n
Böchrson	Böchrson	0		H	sg n
kaebdusega	kaebus	ga		S	sg kom
Leeno	Leenu	0		H	sg n
rusikuga	rusikas	ga		S	sg kom
annud	and	nud		V	nud
Länsoni	Länsen	0		H	sg g
Mikkule	Mikku	le		H	sg all
Välgitast	Välgita	t		H	sg p
Pill	Pill	0		H	sg n
Martinson	Martinson	0		H	sg n
Kivisild	Kivisild	0		H	sg n
Tibina	Tibina	0		H	sg n
Cristjan	Cristjan	0		H	sg n
mito	mitu	0		P	sg n
teisite	teisiti	0		D	
Mall	Mall	0		H	sg n
Rein	Rein	0		H	sg n
Soo	Soo	0		H	sg n
Ermann	Ermann	0		H	sg n
Karl	Karl	0		H	sg n
lubaga	luba	ga		S	sg kom
Oru	Oru	0		H	sg n
Vannamois	Vannamois	0		H	sg n
Vändra	Vändra	0		H	sg n
Bärsoni	Bärson	0		H	sg g
Freybergi	Freyberg	0		H	sg g
Janti	Janti	0		H	sg n
Mikku	Mikku	0		H	sg n
Dexlingi	Dexling	0		H	sg g
homiku	hommik	0		S	sg g
Rassil	Rass	l		H	sg ad
Juri	Juri	0		H	sg n
Mitt	Mitt	0		H	sg n
Remeliga	Remeliga	0		H	sg n
Villemsi	Villems	0		H	sg g
Mik	Mik	0		H	sg n
Sulg	Sulg	0		H	sg n
Lenkist	Lenk	t		H	sg p
Adam	Adam	0		H	sg n
Rass	Rass	0		H	sg n
Säse	Säse	0		H	sg n
kulo	kulg	0		S	sg g
kulo	kulu	0		S	sg g
kulo	kulu	0		V	o
kulo	kulu	0		S	sg n
kulo	kulu	0		S	sg p
Pihu	Pihu	0		H	sg n
Lorits	Lorits	0		H	sg n
Neumanni	Neumann	0		H	sg g
arvada	arva	da		V	ta
Ermani	Ermann	0		H	sg n
kodo	kodu	0		S	sg g
kodo	kodu	0		S	sg n
kodo	kodu	0		S	sg p
kaebdust	kaebus	t		S	sg p
Tonissoni	Tonis	0		H	sg g
Käigul	Käigu	l		H	sg ad
Elbricht	Elbricht	0		H	sg n
Tanasel	Tanasel	0		H	sg n
Johnsil	Johns	l		H	sg ad
protsentita	protsent	ta		S	sg ab
Tonisson	Tonis	0		H	sg g
Neumannil	Neumann	l		H	sg ad
Karu	Karu	0		H	sg n
Mari	Mari	0		H	sg n
Nael	Nael	0		H	sg n
Tonison	Tonison	0		H	sg n
Tissil	Tiss	l		H	sg ad
H.	H.	0		Y	sg n
Froschil	Frosch	l		H	sg ad
Tissile	Tiss	le		H	sg all
Lellepi	Lellep	0		H	sg g
Mäeküla	Mäeküla	0		H	sg n
Pihul	Pihu	l		H	sg ad
Ado	Ado	0		H	sg n
Tõnis	Tõnis	0		H	sg n
Ambla	Ambla	0		H	sg n
kaebatu	kaeva=tu	0		S	sg n
Johns	Johns	0		H	sg n
Tiss	Tiss	0		H	sg n
Vaher	Vaher	0		H	sg n
Schonberg	Schonberg	0		H	sg n
Jaanson	Jaan	0		H	sg g
Mats	Mats	0		H	sg n
Kuldkeppi	Kuldkeppi	0		H	sg n
takseritud	takseeri	tud		V	tud
Jürisonil	Jürison	l		H	sg ad
Madaver	Madaver	0		H	sg n
Taeverest	Taeverest	st		H	sg n
Sai	Sai	i		H	sg n
Viljandise	Viljandise	0		H	sg n
Koff	Koff	0		H	sg n
Veldmann	Veldmann	0		H	sg n
kubo	kubu	0		S	sg g
kubo	kubu	0		S	sg n
kubo	kubu	0		S	sg n
kubo	kubu	0		S	sg p
kubo	kubu	0		S	sg p
Luizil	Luizil	0		H	sg n
Taevere	Taevere	0		H	sg n
Sedulka	Sedulka	0		H	sg n
Tõnison	Tõnis	0		H	sg g
Nordinil	Nordin	l		H	sg ad
Juhansonil	Juhansonil	l		H	sg n
Reegoldist	Reegoldist	st		H	sg n
Rei	Rei	0		H	sg n
Tõnno	Tõnno	0		H	sg n
Jurrison	Jurrison	0		H	sg n
Tonnissoni	Tonnisson	0		H	sg g
Oksa	Oksa	0		H	sg n
valjuset	valjusti	0		D	
seadinud	sead	nud		V	nud
Siim	Siim	0		H	sg n
varantuse	varandus	0		S	sg g
nenda	nõnda	0		D	
Luiz	Luiz	0		H	sg n
