text	root	ending	clitic	partofspeech	form
Lemtok	Lemtok	0		H	sg n
Voldi	Voldi	0		H	sg n
Jerve	Jerve	0		H	sg n
Noormäts	Noormets	0		H	sg n
Rehknungi	Rehknungi	0		H	sg n
nõvvap	nõud	p		V	b
Eenkambrin	Eenkambrin	0		H	sg n
Miina	Miina	0		H	sg n
kats	kaks	0		N	sg n
niisammute	nii_samuti	0		D	
Kähri	Kähri	0		H	sg n
pantama	pane	tama	V	tama	
Oinale	Oina	le		H	sg all
Jõgi	Jõgi	0		H	sg n
Kogokonnavanemb	Kogokonnavanemb	0		H	sg n
Nillbe	Nillbe	0		H	sg n
Möldre	Möldre	0		H	sg n
Roiga	Roiga	0		H	sg n
Vadi	Vadi	0		H	sg n
Tigasele	Tigase	le		H	sg all
päiv	päev	0		S	sg n
Pallo	Pallo	0		H	sg n
panekist	panek	st		S	sg el
Sonberg	Sonberg	0		H	sg n
Bertha	Bertha	0		H	sg n
Laursoniga	Laurson	ga		H	sg kom
Carl	Carl	0		H	sg n
Quittungi	Quittungi	0		H	sg n
Tadoldrega	Tadoldre	ga		H	sg kom
Sikka	Sikka	0		H	sg n
Tami	Tami	0		H	sg n
Pikka	Pikka	0		H	sg n
Võsule	Võsule	le		H	sg n
keriko	kirik	0		S	sg g
Luika	Luik	0		H	sg g
Tatolder	Tatolder	0		H	sg n
kohtomeeste	kohtu_mees	te		S	pl g
Obet	Obet	0		H	sg n
Tadoldrel	Tadoldre	l		H	sg ad
Jundsi	Jundsi	0		H	sg n
Võssoga	Võsso	ga		H	sg kom
Margus	Margus	0		H	sg n
Normanil	Normanil	l		H	sg n
Kaos	Kaos	0		H	sg n
Kukipa	Kukipa	0		H	sg n
Tadoldrele	Tadoldre	le		H	sg all
Kivinitsi	Kivinitsi	0		H	sg n
Pangsepp	Pangsepp	0		H	sg n
masmata	maks	mata		V	mata
Võssole	Võsso	le		H	sg all
Peedu	Peedu	0		H	sg n
Pokk	Pokk	0		H	sg n
Lepik	Lepik	0		H	sg n
Nimitetu	nimeta	tu		V	tud
Pastaku	Pastaku	0		H	sg n
Margos	Margos	0		H	sg n
Jakobson	Jakobson	0		H	sg n
Koosa	Koosa	0		H	sg n
Brottocolli	Brottocolli	0		H	sg n
Asmus	Asmus	0		H	sg n
Valu	Valu	0		H	sg n
Anna	Anna	0		H	sg n
Novbembr	Novbembr	0		H	sg n
Kogokona	Kogokona	0		H	sg n
al	al	0		Y	?
jaan	jaan	0		Y	sg n
Pastako	Pastako	0		H	sg n
Obetil	Obet	l		H	sg ad
Samuel	Samuel	0		H	sg n
Vallavanemba	Vallavanemba	0		H	sg n
Kalliperal	Kallipera	l		H	sg ad
Leppik	Leppik	0		H	sg n
Jaak	Jaak	0		H	sg n
Ollev	ole	v		V	vat
Assmus	Assmus	0		H	sg n
Külaotsa	Külaots	0		H	sg g
Karjapois	Karjapois	0		H	sg n
Reimann	Reimann	0		H	sg n
Pastak	Pastako	0		H	sg n
Politzei	Politzei	0		H	sg n
Josep	Josep	0		H	sg n
kohus	kohus	0		H	sg n
Kalliperale	Kallipera	le		H	sg all
Zirk	Zirk	0		H	sg n
Gustav	Gustav	0		H	sg n
Ello	Ello	0		H	sg n
Speek	Speek	0		H	sg n
Speegil	Speek	l		H	sg ad
Triino	Triino	0		H	sg n
alutses	alune	s		S	sg tr
Dombergile	Dombergile	0		H	sg n
Lukelt	Lukelt	0		H	sg n
enamb	enam	0		D	
Pästak	Pästak	0		H	sg n
Lutke	Lutke	0		H	sg n
Kantslei	kantselei	0		S	sg g
Rein	Rein	0		H	sg n
rusikuga	rusikas	ga		S	sg kom
Sillaga	Sillda	ga		H	sg kom
Leet	Leet	0		H	sg n
Karl	Karl	0		H	sg n
Rups	Rups	0		H	sg n
Luig	Luig	0		H	sg n
ollova	ole	ova		V	nuvad
Leentok	Leentok	0		H	sg n
Kotkal	Kotka	l		H	sg ad
praego	praegu	0		D	
Kondasele	Kondas	le		H	sg all
Katre	Katre	0		H	sg n
kohto	kohus	0		S sg g	
Jakealust	Jakealust	st		H	sg n
An	An	0		Y	sg n
Domber	Domber	0		H	sg n
Noromann	Noromann	0		H	sg n
Eva	Eva	0		H	sg n
Dombergilkui	Domber	0		H	sg g
Võsol	Võso	l		H	sg ad
Kogokonna	Kogokonna	0		H	sg n
ollo	ole	o		V	nud
Leevon	Leevon	0		H	sg n
Domberg	Domberg	0		H	sg n
Tigase	Tigane	0		H	sg n
Ramm	Ramm	0		H	sg n
Toss	Toss	0		H	sg n
sääl	seal	0		D	
Vio	Vio	0		H	sg n
rohkemb	rohkem	0		D	
Adam	Adam	0		H	sg n
Loomaki	Loomaku	0		H	sg n
Tigast	Tigane	t		H	sg p
Kiik	Kiik	0		H	sg n
Sassa	Sassa	0		H	sg n
Kleini	Klein	0		H	sg g
Ulsti	Ulst	0		H	sg g
Ulst	Ulst	0		H	sg n
Lutsepal	Lutsepal	0		H	sg n
Paul	Paul	0		H	sg n
Kõrdsi	Kõrdsi	0		H	sg n
kodo	kodu	0		S	sg ill
Madis	Madis	0		H	sg n
Tori	Tori	0		H	sg n
Eenoki	Eenok	0		H	sg g
Speeki	Speek	0		H	sg g
Karol	Karo	l		H	sg ad
Kepp	Kepp	0		H	sg n
Rägo	Rägo	0		H	sg n
Õigus	Õigus	0		H	sg n
Käkk	Käkk	0		H	sg n
Sillale	Silld	le		H	sg all
Rükki	Rükki	0		H	sg n
Kreisi	Kreisi	0		H	sg n
Nink	Nink	0		H	sg n
Mari	Mari	0		H	sg n
Brikker	Brikker	0		H	sg n
Kruutuse	Kruutuse	0		H	sg n
Kalliperrale	Kallipera	le		H	sg all
Veskin	Veski	0		H	sg g
Johanni	Johann	0		H	sg g
Rupsi	Rups	0		H	sg g
Silda	Silda	0		H	sg n
Kuk	Kuk	0		H	sg n
Jüri	Jüri	0		H	sg n
Pukk	Pukk	0		H	sg n
Kallipera	Kallipera	0		H	sg n
Kogrel	Kogre	l		H	sg ad
Ronk	Ronk	0		H	sg n
Ado	Ado	0		H	sg n
suguki	sugugi	0		D	
mannu	manu	0		K	
Zura	Zura	0		H	sg n
Vijo	Vijo	0		H	sg n
valitsus	valitsus	0		H	sg n
Kalliperrad	Kallipera	d		H	sg g
ollov	ole	ov		V	
Järve	Järv	0		H	sg g
Laursooni	Laursohn	0		H	sg g
Kukipä	Kukipä	0		H	sg n
Loomann	Loomaku	0		H	sg n
Luiki	Luik	0		H	sg g
Tadoldre	Tadoldre	0		H	sg n
Tiilik	Tiilik	0		H	sg n
Pannel	Pannel	0		H	sg n
Pastake	Pastak	0		H	sg g
een	ees	0		K	
Pbet	Pbet	0		H	sg n
lännu	mine	nu		V	nud
valla	valla	0		H	sg n
Peeter	Peeter	0		H	sg n
Kalliperral	Kallipera	l		H	sg ad
nännu	näge	nu		V	nud
Tüter	Tüter	0		H	sg n
Kops	Kops	0		H	sg n
Unnipihast	Unnipihan	t		H	sg p
Kammeri	Kammeri	0		H	sg n
Küllaots	Küllaots	0		H	sg n
Vaeste	Vaeste	te		H	sg n
Laadikode	Laadikode	0		H	sg n
Peetr	Peetr	0		H	sg n
Hindrik	Hindrik	0		H	sg n
Võso	Võso	0		H	sg n
Ruudline	Ruudline	0		H	sg n
kaivas	kaeba	s		V	s
Tunnist	Tunnist	0		H	sg n
Pavel	Pavel	0		H	sg n
P.	P.	0		Y	sg n
Püssale	Püssa	le		H	sg all
Rügi	Rügi	0		H	sg n
Pille	Pille	0		H	sg n
Brottcolli	Brottcolli	0		H	sg n
Ketner	Ketner	0		H	sg n
Valdsohn	Valdson	0		H	sg g
Mihke	Mihke	0		H	sg n
Laadiko	Laadiko	0		H	sg n
Laos	Laos	0		H	sg n
Valtsohn	Valtsohn	0		H	sg n
Volmer	Volmer	0		H	sg n
Speekil	Speek	l		H	sg ad
Kullesse	Kullesse	sse		H	sg n
Tiido	Tiido	0		H	sg n
Kalliperra	Kallipera	0		H	sg g
Järv	Järv	0		H	sg n
Tadoldred	Tadolder	d		H	sg g
kirjo	kiri	o		S	pl g
Kivi	Kivi	0		H	sg n
kodon	kodu	n		S	sg n
Unnipichan	Unnipichan	0		H	sg n
Oina	Oina	0		H	sg n
M.	M.	0		Y	sg n
Tarto	Tarto	0		H	sg n
puie	puu	ie		S	pl g
Harmson	Harmson	0		H	sg n
Ann	Ann	0		H	sg n
Kallas	Kallas	0		H	sg n
Veelits	Veelits	0		H	sg n
Kalliperast	Kallipera	t		H	sg p
Obeti	Obeti	0		H	sg n
mõlemba	mõlemad	0		P	pl n
