text	root	ending	clitic	partofspeech	form
Kõnnelno	Kõnnelno	0		H	sg n
Bömmarin	Bömmann	0		H	sg g
üts	üks	0		N	sg n
Külvmadda	Külvmadda	0		H	sg n
kokko	kokku	0		D	
kohhast	koht	st		S	sg el
raoto	raiu	tu		V	tud
Kaeman	Kaeman	0		H	sg n
kats	kaks	0		S	sg n
Kulbson	Kulbson	0		H	sg n
veddano	veda	nu		V	nud
Metsik	Metsik	0		H	sg n
Jacob	Jacob	0		H	sg n
pallotanu	põleta	nu		V	nud
Mai	Mai	0		H	sg n
Käija	Käija	0		H	sg n
Pergmannile	Pergmann	le		H	sg all
Käkkistano	Käkkistano	0		H	sg n
Ränno	Ränno	0		H	sg n
vallitsussele	valitsus	le		S	sg all
Pakohtomees	Pakohtomees	0		H	sg n
Kadenberg	Kadenberg	0		H	sg n
sab	saa	b		V	b
Carl	Carl	0		H	sg n
sas	saa	s		V	ks
jurde	juurde	0		K	
mõtsa	mets	0		S	sg g
Kõrvo	Kõrvo	0		H	sg n
Keldno	Keldno	0		H	sg n
moisale	mõis	le		S	sg all
Arro	Arro	0		H	sg n
korma	koorem	0		S	sg n
Kirju	Kirju	0		H	sg n
nisammo	nii_sama	0		D	
päle	peale	0		K	
Margus	Margus	0		H	sg n
Kogger	Kogger	0		H	sg n
Kirjan	Kirjan	n		H	sg n
Rentnikko	Rentnikko	0		H	sg n
Palmi	Palmi	0		H	sg n
Kaddaja	Kaddaja	0		H	sg n
Päkohtomes	Päkohtomes	0		H	sg n
Närskale	Närska	le		H	sg all
Sonn	Sonn	0		H	sg n
koivo	kõiv	0		S	sg g
Tikkopel	Tikkop	l		H	sg ad
Behter	Behter	0		H	sg n
müino	müü	nu		V	nud
Kuluteteto	Kuluteteto	0		H	sg n
Kavvilda	Kavvilda	0		H	sg n
Sinnol	Sinno	l		H	sg ad
Kohhus	Kohhus	0		H	sg n
Kass	Kass	0		H	sg n
Rammanil	Rammanil	l		H	sg n
Käijille	Käijille	0		H	sg n
Jaak	Jaak	0		H	sg n
Kurrik	Kurrik	0		H	sg n
löito	leid	tu		V	tud
Vahlbergile	Vahlbergile	0		H	sg n
ülles	üles	0		D	
Kortsin	Kortsin	0		H	sg n
Karjapois	Karjapois	0		H	sg n
Pastak	Pastak	0		H	sg n
Jungmanile	Jungmanile	0		H	sg n
Konguta	Konguta	0		H	sg n
Kogg	Kogg	0		H	sg n
Trahv	Trahv	0		H	sg n
Rämman	Rämm	0		H	sg g
Tio	Tio	0		H	sg n
Kaddono	Kaddono	0		H	sg n
Nõggene	Nõggene	0		H	sg n
tutvas	tuttav	s		A	sg tr
Politsei	Politsei	0		H	sg n
kaeno	kae	nu		V	nud
Vidrik	Vidrik	0		H	sg n
tallitada	talita	da		V	da
Vahlbergi	Vahlberg	0		H	sg g
suggolase	sugulane	0		S	sg g
