text	root	ending	clitic	partofspeech	form
Lubi	Lubi	0		H	sg n
Tollasson	Tollasson	0		H	sg n
kokko	kokku	0		D	
kokko	kogu	0		S	adt
Pausk	Pausk	0		H	sg n
sise	sisse	0		D	
Kohv	Kohv	0		H	sg n
Jänes	Jänes	0		H	sg n
Illisele	Illisele	le		H	sg n
maganod	maga	nud		V	nud
maganod	maga=nu	d		S	pl n
maganod	maga=nud	0		A	
maganod	maga=nud	0		A	sg n
maganod	maga=nud	d		A	pl n
Saarelt	Saarelt	lt		H	sg n
tunnistanod	tunnista	nud		V	nud
tunnistanod	tunnista=nu	d		S	pl n
tunnistanod	tunnista=nud	0		A	
tunnistanod	tunnista=nud	0		A	sg n
tunnistanod	tunnista=nud	d		A	pl n
kahjo	kahi	0		S	adt
kahjo	kahi	0		S	sg g
kahjo	kahi	0		S	sg p
kahjo	kahju	0		S	sg g
kahjo	kahju	0		S	sg n
kahjo	kahju	0		S	sg p
Mäelt	Mäelt	0		H	sg n
Vesmann	Vesmann	0		H	sg n
Reile	Reile	0		H	sg n
vasto	vastu	0		D	
vasto	vastu	0		K	
lükanod	lükka	nud		V	nud
lükanod	lüka=nu	d		S	pl n
lükanod	lüka=nud	0		A	
lükanod	lüka=nud	0		A	sg n
lükanod	lüka=nud	d		A	pl n
Arrako	Arrak	0		H	sg g
vabandand	vabanda	nud		V	nud
vabandand	vabanda=nu	d		S	pl n
vabandand	vabanda=nud	0		A	
vabandand	vabanda=nud	0		A	sg n
vabandand	vabanda=nud	d		A	pl n
Kollo	Kollo	0		H	sg n
Mensenkampffi	Mensenkampffi	0		H	sg n
Tallasson	Tallasson	0		H	sg n
Kõvva	Kõvva	0		H	sg n
Kalbuse	Kalbuse	0		H	sg n
parograhvi	paragrahv	0		S	sg g
Kuusel	Kuusel	0		H	sg n
Margus	Margus	0		H	sg n
kintso	kints	0		S	adt
kintso	kints	0		S	sg g
kintso	kints	0		S	sg p
Laur	Laur	0		H	sg n
jaand	jää	nd		V	nud
Kabak	Kabak	0		H	sg n
Kuusik	Kuuse	0		H	sg g
tülitsenod	tülitse	nud		V	nud
tülitsenod	tülitse=nu	d		S	pl n
tülitsenod	tülitse=nud	0		A	
tülitsenod	tülitse=nud	0		A	sg n
tülitsenod	tülitse=nud	d		A	pl n
Peksol	Peks	l		H	sg ad
Keiserligo	keiser_ligu	0		S	sg n
Keiserligo	keiser_ligu	0		S	sg p
Jakobson	Jakobi	0		H	sg g
Krünberg	Krünberg	0		H	sg n
Tõnissin	Tõnis	0		H	sg g
Mädosoni	Mädosoni	0		H	sg n
Anna	Anna	0		H	sg n
I	I	0		Y	sg n
Jaakole	Jaak	le		H	sg all
Reet	Reet	0		H	sg n
teotanod	teota	nud		V	nud
pakkonod	pakk_onu	d		S	pl n
Purga	Purga	0		H	sg n
Karrus	Karrus	0		H	sg n
Kitsingo	Kitsing	0		H	sg g
Õmblos	Õmblos	0		H	sg n
Mert	Mert	0		H	sg n
Saba	Saba	0		H	sg n
Viilipuse	Viilipus	0		H	sg g
jätnod	jät	nud		V	nud
jätnod	jät=nu	d		S	pl n
jätnod	jät=nud	0		A	
jätnod	jät=nud	0		A	sg n
jätnod	jät=nud	d		A	pl n
Peks	Peks	0		H	sg n
Lillienthali	Lillienthal	0		H	sg g
toond	too	nud		V	nud
toond	too=nu	d		S	pl n
toond	too=nud	0		A	
toond	too=nud	0		A	sg n
toond	too=nud	d		A	pl n
taso	tasu	0		S	sg g
taso	tasu	0		V	o
taso	tasu	0		S	sg n
taso	tasu	0		S	sg p
enamb	enam	0		D	
raamato	raamat	0		S	sg g
Kask	Kask	0		H	sg n
ol.e	ol.e	0		Y	sg n
Purgile	Purgile	0		H	sg n
saanod	saa	nud		V	nud
saanod	saa=nud	0		A	
saanod	saa=nud	0		A	sg n
saanod	saa=nud	d		A	pl n
saanod	saanu	d		S	pl n
Lillienhtal	Lilliorg	l		H	sg ad
Lillimägi	Lillimägi	0		H	sg n
Allikod	Allik	d		H	sg g
Entschädigung	Entschädigung	0		H	sg n
kirjo	kirju	0		A	sg g
kirjo	kirju	0		A	sg n
kirjo	kiri	u		S	pl p
kirjo	kirju	0		A	sg g
kirjo	kirju	0		A	sg n
Eller	Eller	0		H	sg n
Juri	Juri	0		H	sg n
Rääk	Rääk	0		H	sg n
Pakkeus	Pakkeus	0		H	sg n
Allik	Allik	0		H	sg n
müünod	müü	nud		V	nud
müünod	müü=nu	d		S	pl n
müünod	müü=nud	0		A	
müünod	müü=nud	0		A	sg n
müünod	müü=nud	d		A	pl n
Rossoni	Rosson	0		H	sg g
Ned	Ned	0		H	sg n
külast	külast	st		H	sg n
kulo	kulg	0		S	sg g
kulo	kulu	0		S	sg g
kulo	kulu	0		V	o
kulo	kulu	0		S	sg n
kulo	kulu	0		S	sg p
küsinod	küsi	nud		V	nud
küsinod	küsi=nu	d		S	pl n
küsinod	küsi=nud	0		A	
küsinod	küsi=nud	0		A	sg n
küsinod	küsi=nud	d		A	pl n
Kööleri	Kööleri	0		H	sg n
Jaohan	Jaohan	0		H	sg n
lugenod	luge	nud		V	nud
lugenod	luge=nu	d		S	pl n
lugenod	luge=nud	0		A	
lugenod	luge=nud	0		A	sg n
lugenod	luge=nud	d		A	pl n
jerele	järele	0		K	
anod	anu	d		V	d
Tõnise	Tõnise	0		H	sg n
Suht	Suht	0		H	sg n
kodo	kodu	0		S	adt
mõtelnod	mõtle	nud		V	nud
mõtelnod	mõtel=nu	d		S	pl n
