text	root	ending	clitic	partofspeech	form
Tari	Tari	0		H	sg n
temäga	tema	ga		P	sg kom
üts	üks	0		P	sg n
ütsinda	üksinda	0		D	
Siederi	Siedre	0		H	sg g
Raag	Raag	0		H	sg n
Ülle	Ülle	0		H	sg n
Ernst	Ernst	0		H	sg n
Leimus	Leimus	0		H	sg n
väega	väga	0		D	
Back	Back	0		H	sg n
Luck	Luck	0		H	sg n
Jänes	Jänes	0		H	sg n
Peddäjat	Peddäjä	t		H	sg p
Sokikkale	Sokikka	le		H	sg all
Essä	Essä	0		H	sg n
Michelsoni	Michelson	0		H	sg g
Mihkelsoni	Mihkel	0		H	sg g
Rano	Rano	0		H	sg n
Möldre	Möldre	0		H	sg n
Jürgensoni	Jürgenson	0		H	sg g
hendä	ise	0		P	sg g
Walde	Walde	0		H	sg n
Pe	Pe	0		Y	sg n
nätten	näge	ten		V	des
Lassi	Lassi	0		H	sg n
Seddasama	Seddasama	0		H	sg n
Kurik	Kurik	0		H	sg n
Thomad	Thomad	d		H	sg n
Essak	Essak	0		H	sg n
elläsime	ela	sime		V	sime
Sillaotsaga	Sillaots	ga		H	sg kom
Vint	Vint	0		H	sg n
sängin	säng	n		S	sg in
mino	mina	0		P	sg g
Õigus	Õigus	0		H	sg n
Seppa	Seppa	0		H	sg n
Kõttu	Kõttu	0		H	sg n
Margus	Margus	0		H	sg n
enembi	enne	0		D	
Kogger	Kogger	0		H	sg n
Kiltrele	Kiltre	le		H	sg all
tunistaja	tunnistaja	0		S	sg n
Kirst	Kirst	0		H	sg n
sep	sepp	0		S	sg n
Puskar	Puskar	0		H	sg n
Puskarile	Puskar	le		H	sg all
Piiprelt	Piiprelt	0		H	sg n
Puritu	Purits	0		H	sg n
aiga	aeg	0		S	sg p
Lihu	Lihu	0		H	sg n
eesmält	esmalt	0		D	
Valla	Valla	0		H	sg n
Rüg	Rüg	0		H	sg n
Kimalanne	Kimalane	0		H	sg g
Anna	Anna	0		H	sg n
A.	A.	0		Y	sg n
Puskari	Puskar	0		H	sg g
Nöps	Nöps	0		H	sg n
Prussak	Prussak	0		H	sg n
Mäksa	Mäksa	0		H	sg n
Saar	Saar	0		H	sg n
Völliga	Völliga	ga		H	sg n
Jaak	Jaak	0		H	sg n
Kurrik	Kurrik	0		H	sg n
Lärmi	Lärm	0		H	sg g
Johanile	Johan	le		H	sg all
tunistajat	tunnistaja	t		S	sg p
Tamman	Tamman	0		H	sg n
Hahni	Hahn	0		H	sg g
eddesi	edasi	0		D	
Josep	Josep	0		H	sg n
Vahhale	Vahhale	0		H	sg n
Sock	Sock	0		H	sg n
Sepp	Sepp	0		H	sg n
Prisko	Prisko	0		H	sg n
Maksi	Maks	0		H	sg g
Peddäjä	Peddäjä	0		H	sg n
Juni	Juni	0		H	sg n
Tideberg	Tideberg	0		H	sg n
