text	root	ending	clitic	partofspeech	form
masso	maks	0		S	pl n
Essast	Essa	t		H	sg p
üts	üks	0		N	sg n
G.	G.	0		Y	sg n
Rahhi	Rahhi	0		H	sg n
päivast	päev	st		S	sg el
Köster	Köster	0		H	sg n
Rämmat	Rämma	t		H	sg p
vasto	vastu	0		K	
Rosenfeld	Rosenfeld	0		H	sg n
Kürvits	Kürvits	0		H	sg n
nöudmisse	nõudmine	0		S	sg g
höige	õige	0		A	sg g
Advokadi	Advocat	0		H	sg g
vaivalt	vaevalt	0		D	
Julale	Jula	le		H	sg all
Judit	Judit	0		H	sg n
Kahhe	kaks	0		N	sg g
vötno	võt	no		V	nud
keriko	kirik	0		S	sg g
päle	peale	0		K	
arvatas	arva	tas		V	takse
vakkama	vaka_maa	0		S	sg g
Köivo	Köiv	0		H	sg g
Tiksile	Tiks	le		H	sg all
Rannust	Rannust	st		H	sg n
Röngust	Röngust	0		H	sg n
murretsamma	muretse	ma		V	ma
Vallavannem	Vallavannem	0		H	sg n
Kompuse	Kompus	0		H	sg g
Tolmo	Tolm	0		H	sg g
Jaakole	Jaak	le		H	sg all
Rautseppa	Rautseppa	0		H	sg n
Taam	Taam	0		H	sg n
Ramma	Ramma	0		H	sg n
pooleterramehhes	poole_tera_mees	s		S	sg tr
est	eest	0		K	
ülles	üles	0		D	
Tiinale	Tiina	le		H	sg all
Jaako	Jaak	0		H	sg g
röanurme	rukki_nurm	0		S	sg ill
Rijas	Rija	0		H	sg g
Anne	Anne	0		H	sg n
Kop	Kop	0		H	sg n
Tibbari	Tibbar	0		H	sg g
Kusk	Kusk	0		H	sg n
Päsokene	Päsokene	0		H	sg n
vällan	väljas	0		D	
söda	sööt	0		S	sg g
niitno	niit	no		V	nud
söita	sõit	a		V	da
Tikssil	Tiks	l		H	sg ad
Decembril	Decembril	l		H	sg n
Dreybladt	Dreybladt	0		H	sg n
Mangus	Mangus	s		H	sg n
Eihelmanni	Eihelmanni	0		H	sg n
Tiks	Tiks	0		H	sg n
Kaddunu	Kaddunu	0		H	sg n
agga	aga	0		J	
Johannsoni	Johan	0		H	sg g
Veide	Veide	0		H	sg n
Soldat	Soldat	0		H	sg n
